Geneid	B03-6	B03-12	B03-16	A05-6	A05-12	A05-16	A07-6	A07-12	A07-16	B09-6	B09-12	B09-16
Glyma.01G225000	0.468	1.775	4.956	1.987	12.603	9.841	1.018	6.921	4.986	1.431	1.741	7.542
Glyma.01G225900	24.395	19.723	10.637	27.264	14.968	10.283	25.503	14.49	11.561	27.328	19.891	13.37
Glyma.01G226000	10.275	5.438	15.619	40.249	18.132	6.144	61.863	42.264	69.222	54.109	37.107	7.364
Glyma.01G226100	0.26	0.931	6.952	5.508	3.539	1.871	7.659	6.134	16.899	7.283	3.983	3.115
Glyma.01G226200	0.463	0.06	1.083	1.705	0.531	0.218	1.795	0.757	4.596	1.672	0.432	0.28
Glyma.01G226600	1.232	2.23	4.496	3.544	4.92	8.845	5.374	5.911	6.295	5.077	4.295	3.689
Glyma.01G226900	2.893	6.723	14.962	5.438	7.705	13.782	7.063	7.562	9.546	8.546	10.483	15.376
Glyma.01G227200	1.648	3.514	9.336	6.286	7.95	7.554	11.252	11.332	11.779	10.528	12.721	8.78
Glyma.01G227400	34.806	28.757	80.458	65.826	39.329	22.105	55.779	38.913	65.697	68.563	69.394	74.17
Glyma.01G228700	10.768	9.484	2.724	17.231	17.866	74.654	11.535	27.299	2.908	3.268	8.212	34.363
Glyma.01G229066	4.254	2.241	4.591	6.352	4.18	16.974	4.772	4.931	10.161	6.002	1.486	12.156
Glyma.01G229132	3.684	2.06	3.402	4.79	3.722	13.212	3.951	4.631	8.668	5.112	1.297	9.244
Glyma.01G229200	53.728	38.21	19.83	49.787	28.887	61.534	44.833	43.307	47.754	63.146	25.081	50.265
Glyma.01G229800	512.044	572.598	113.312	294.269	279.738	98.258	245.399	218.352	71.114	267.735	286.565	107.316
Glyma.01G230600	0.525	0.833	5.455	2.441	1.278	3.61	2.653	2.105	7.125	4.883	3.442	7.945
Glyma.01G230900	19.572	20.878	11.722	8.808	11.154	6.31	6.117	6.645	2.668	6.986	31.988	18.935
Glyma.01G231300	17.713	11.726	24.901	11.603	7.967	58.481	7.685	7.13	28.911	16.729	12.75	55.752
Glyma.01G231400	19.562	17.59	42.933	18.533	13.521	80.198	13.896	10.835	34.17	21.417	38.753	89.445
Glyma.01G231600	8.87	11.973	13.499	9.178	17.695	7.448	14.421	14.086	8.93	10.148	13.807	9.913
Glyma.01G231700	18.212	15.3	5.779	13.455	8.183	7.924	10.705	8.486	6.88	18.598	11.675	12.219
Glyma.01G231900	184.633	156.331	79.039	129.298	146.652	57.368	109.603	120.342	86.207	133.286	98.099	71.435
Glyma.01G232400	37.393	29.375	34.601	33.887	61.381	11.74	66.741	70.571	31.332	26.753	36.045	11.719
Glyma.01G232500	1.371	3.483	4.744	4.456	6.025	1.644	3.4	3.701	2.437	4.145	4.26	2.245
Glyma.01G233300	19.39	66.921	59.883	14.767	47.325	67.449	13.973	32.881	30.76	11.947	43.141	72.509
Glyma.01G233600	8.747	10.841	45.811	14.385	27.822	30.846	18.191	28.494	40.704	18.288	26.656	33.332
Glyma.01G233700	9.961	12.138	9.695	8.188	7.101	26.981	5.376	6.795	9.841	6.805	5.447	15.243
Glyma.01G234000	18.915	14.729	6.17	8.187	4.384	25.483	1.507	5.445	1.604	1.198	1.131	10.937
Glyma.01G234100	5.997	5.326	3.164	4.175	2.668	7.235	2.623	2.528	2.97	3.131	2.211	6.584
Glyma.01G234500	6.297	3.804	58.132	39.66	55.917	24.323	68.878	63.744	64.088	62.223	54.402	30.493
Glyma.01G234600	55.739	36.023	6.928	48.335	26.426	14.634	40.411	28.328	15.313	55.663	25.836	22.094
Glyma.01G235600	76.302	118.98	38.602	33.46	101.421	70.521	39.112	46.632	30.021	22.705	31.656	55.333
Glyma.01G235800	0.588	1.902	9.462	1.26	1.897	4.241	1.025	1.15	1.969	1.162	6.303	10.858
Glyma.01G236300	0.698	0.406	22.496	6.582	1.625	0.576	6.666	3.133	11.019	6.699	3.331	2.357
Glyma.01G236400	3.659	2.401	3.424	5.346	9.047	1.401	10.162	10.12	5.451	5.545	4.735	1.646
Glyma.01G236600	23.809	63.303	125.454	44.34	61.517	53.659	32.165	29.961	23.325	32.626	187.752	125.69
Glyma.01G238600	0.535	1.006	3.753	4.197	3.383	2.995	3.901	3.517	5.094	4.702	5.918	5.472
Glyma.01G238800	11.933	3.94	4.012	5.879	8.658	6.083	8.62	6.22	10.582	8.96	3.511	7.531
Glyma.01G239500	4.673	6.253	3.05	5.03	4.279	9.447	3.751	5.826	1.174	0.906	1.136	4.073
Glyma.01G239600	21.114	41.076	44.728	23.291	63.641	84.978	46.904	66.048	35.08	20.394	33.273	40.995
Glyma.01G239800	2.849	2.837	1.89	2.036	3.058	0.826	2.245	2.101	0.447	3.322	4.907	1.577
Glyma.01G239900	3.72	5.598	19.11	9.197	10.819	5.9	12.464	11.77	11.82	9.89	13.82	9.792
Glyma.01G240000	13.882	50.404	156.687	34.225	41.356	43.795	23.511	19.539	20.824	25.446	161.716	153.166
Glyma.01G240100	0.539	3.047	1.264	1.072	2.148	6.133	2.164	2.774	0.943	0.478	1.257	2.148
Glyma.01G240700	1.295	2.272	7.985	2.304	2.007	8.648	3.223	1.756	4.499	2.654	9.58	11.19
Glyma.01G241000	29.07	22.278	16.893	34.326	23.064	86.666	53.98	38.945	49.375	34.552	21.118	63.667
Glyma.01G241500	2.852	4.215	4.283	6.787	3.59	12.789	3.563	3.776	6.456	4.416	4.78	8.8
Glyma.01G242000	77.06	27.905	71.734	52.994	43.609	153.372	50.825	44.393	96.238	51.701	13.251	89.763
Glyma.01G242800	36.532	66.008	111.229	33.893	93.007	48.934	71.707	87.998	35.02	17.333	31.919	33.5
Glyma.01G242902	10.145	33.217	60.375	21.516	29.504	30.247	19.434	14.25	13.354	15.787	81.492	69.698
Glyma.01G243300	45.399	47.406	75.187	68.258	38.288	24.931	47.245	30.376	39.117	66.002	89.592	71.842
Glyma.01G243400	13.166	12.37	34.864	78.571	66.076	4.612	39.977	45.796	17.166	63.518	32.225	8.002
Glyma.01G243600	3.717	6.345	15.174	6.989	10.695	14.316	11.245	11.802	18.266	10.631	12.881	15.914
Glyma.01G244132	78.421	27.121	10.522	25.548	8.37	36.553	16.954	11.792	3.498	7.488	2.774	38.462
Glyma.01G244200	52.991	19.611	7.48	18.024	5.741	18.233	11.384	7.631	2.751	5.103	1.836	24.33
Glyma.01G244600	0.45	0.257	11.705	14.397	31.335	0.336	26.889	40.359	37.4	24.78	24.797	6.538
Glyma.01G244900	222.512	203.011	103.358	125.722	121.54	98.536	106.959	102.07	95.311	112.084	134.173	144.51
Glyma.01G245500	10.779	10.839	53.038	53.564	37.227	20.656	53.984	35.746	43.5	71.374	41.371	36.761
Glyma.02G000300	24.252	6.532	9.82	19.448	2.959	27.434	11.396	5.053	23.085	23.263	6.564	24.756
Glyma.02G000400	3.388	4.696	6.532	4.908	4.49	26.875	5.828	4.456	8.713	4.908	3.976	14.877
Glyma.02G000500	5.32	1.95	6.966	29.161	18.709	2.702	17.592	20.229	3.866	15.33	8.474	1.749
Glyma.02G000600	5	16.154	35.082	12.396	16.097	19.786	10.586	12.542	12.271	8.33	49.666	38.475
Glyma.02G001000	36.281	76.743	13.272	22.224	24.876	22.157	19.603	32.928	16.109	21.274	15.375	22.415
Glyma.02G001100	59.871	135.909	50.873	100.808	166.476	187.523	166.494	78.117	48.641	39.125	18.178	99.127
Glyma.02G001300	9.547	16.098	44.048	12.966	21.801	46.604	14.242	17.03	36.035	17.543	21.099	40.075
Glyma.02G001500	12.072	16.282	42.269	100.245	167.367	15.118	162.526	111.308	86.062	143.216	71.304	33.925
Glyma.02G002000	196.873	100.692	76.666	204.099	106.042	18.053	189.782	120.896	130.195	251.624	126.425	45.017
Glyma.02G002300	27.042	83.185	115.078	59.63	72.307	51.236	50.126	41.291	25.07	44.781	200.708	128.426
Glyma.02G002500	2.643	2.875	4.656	5.499	3.772	1.674	8.033	6.921	9.536	6.22	5.9	3.257
Glyma.02G002800	44.54	97.865	155.991	62.596	70.211	75.546	47.116	37.383	31.35	49.792	237.068	182.052
Glyma.02G002900	2.717	1.632	8.128	12.581	8.1	3.286	15.876	10.942	11.157	13.712	9.377	3.846
Glyma.02G003100	1.735	5.554	6.155	2.673	4.267	7.692	2.279	2.273	2.46	1.905	12.446	12.932
Glyma.02G003700	12.786	4.294	0.013	1.41	0.278	1.781	0.293	0.569	0.032	0.333	0.021	0.65
Glyma.02G004100	15.452	50.575	118.33	33.552	46.748	39.099	24.9	22.476	14.898	24.178	172.673	120.334
Glyma.02G004200	6.34	6.323	6.287	4.285	4.128	16.224	5.23	5.058	6.828	3.305	4.127	7.795
Glyma.02G005100	11.838	2.393	1.205	9.909	2.863	2.005	3.271	4.882	1.585	3.289	1.344	2.6
Glyma.02G005200	17.084	8.026	44.572	48.444	29.854	13.693	52.209	16.366	40.12	60.907	45.577	45.164
Glyma.02G005500	140.59	183.02	160.67	206.652	155.835	74.486	182.217	145.932	69.058	175.447	251.715	121.96
Glyma.02G005600	0.837	0.407	2.189	0.697	0.25	6.963	2.354	0.892	2.022	0.566	0.667	6.983
Glyma.02G005700	6.848	8.876	6.822	8.063	5.206	14.691	7.433	5.713	7.545	8.471	4.309	15.515
Glyma.02G006600	1.195	0.753	8.869	8.772	4.293	1.384	10.835	6.134	6.861	9.462	10.138	3.546
Glyma.02G008200	79.161	2.116	0.736	5.193	0.195	10.309	0.051	0.046	0.034	0.143	0.137	6.809
Glyma.02G009500	3.081	1.378	3.887	5.937	16.853	2.981	10.662	7.316	3.511	4.957	5.047	1.997
Glyma.02G010300	15.814	2.765	30.17	16.533	9.013	6.849	42.276	25.911	84.177	39.082	28.118	15.082
Glyma.02G010600	0.046	0.087	2.548	6.744	3.937	0	11.456	6.06	2.707	13.608	3.145	0.662
Glyma.02G010900	2.629	4.871	5.19	2.873	5.655	14.723	4.372	4.394	2.493	1.151	1.899	21.054
Glyma.02G011200	0.436	2.009	5.721	1.202	1.653	2.749	0.901	0.786	0.778	0.779	7.607	7.01
Glyma.02G011300	1.648	3.302	7.654	2.992	3.316	4.968	2.247	2.02	2.062	2.093	9.951	9.788
Glyma.02G011500	5.733	1.938	0	0.126	0	0.726	0.212	0	0	0.059	0	0
Glyma.02G011600	2.014	7.418	10.601	5.384	13.245	18.714	8.724	10.776	15.663	9.307	8.228	7.646
Glyma.02G011800	36.663	80.54	96.856	47.104	46.399	99.103	33.649	31.055	37.351	36.589	62.384	110.538
Glyma.02G012500	171.407	388.826	217.078	92.14	173.818	541.117	89.764	243.413	415.268	130.447	198.699	337.907
Glyma.02G013300	0.458	0.09	2.687	4.082	2.792	0.109	4.507	3.343	3.188	3.116	1.957	0.883
Glyma.02G013402	0.444	1.007	2.386	5.277	1.892	1.268	3.877	2.44	4.472	8.654	1.865	1.109
Glyma.02G013500	0.221	0.326	3.523	0.62	0.401	0.427	0.584	0.374	0.344	0.437	0.603	0.409
Glyma.02G013700	2.794	2.781	16.025	4.27	8.417	7.218	7.864	8.218	8.057	4.983	4.173	5.9
Glyma.02G013900	0.247	0.875	12.371	2.26	17.868	2.206	11.865	24.31	27.337	3.937	23.435	10.896
Glyma.02G014000	25.368	65.776	72.799	33.525	56.93	50.663	48.077	50.724	19.784	35.252	56.473	48.998
Glyma.02G014200	5.489	12.602	18.141	5.563	11.282	27.918	5.015	9.882	18.821	5.035	9.466	20.06
Glyma.02G014800	9.336	14.697	42.892	24.185	25.041	70.151	19.546	21.223	49.516	21.408	20.822	52.961
Glyma.02G015100	12.874	5.182	19.822	22.799	14.681	24.017	30.351	20.21	22.584	23.153	15.881	21.84
Glyma.02G015300	125.833	131.223	151.47	120.247	264.325	59.546	169.078	275.135	134.027	135.64	112.836	60.598
Glyma.02G015500	0.754	0.098	4.398	8.081	2.115	0.082	12.603	5.927	11.414	8.636	4.398	1.345
Glyma.02G015600	7.977	4.646	7.366	10.582	6.891	11.766	9.108	8.986	8.239	11.948	4.801	3.52
Glyma.02G015800	2.64	0.436	2.274	50.622	21.13	1.879	14.668	25.621	4.914	12.81	3.545	0.328
Glyma.02G015900	9.807	16.999	52.466	16.745	20.655	15.445	17.063	13.526	15.05	16.734	63.723	45.529
Glyma.02G016000	16.405	44.315	116.488	31.594	49.353	50.393	28.394	27.368	25.814	29.861	152.578	127.393
Glyma.02G016100	12.22	1.789	4.391	4.913	2.682	1.646	2.939	3.412	1.883	3.56	3.767	4.13
Glyma.02G016400	0.031	0.013	2.525	8.666	1.705	0	5.25	1.432	2.94	6.372	0.744	0.157
Glyma.02G016500	0.039	0.051	12.492	10.303	2.251	0	14.532	4.213	11.636	7.097	3.317	0.653
Glyma.02G017100	71.493	57.769	4.432	19.87	10.397	4.905	8.47	10.635	0.754	11.127	12.388	6.32
Glyma.02G017200	2.943	3.552	14.779	3.107	2.905	27.75	2.276	3.224	16.442	4.035	5.769	25.417
Glyma.02G017800	20.067	50.147	168.905	39.238	56.186	65.059	34.647	36.023	36.965	36.081	130.131	148.067
Glyma.02G018000	29.896	45.596	97.328	47.992	129.804	55.964	111.967	117.084	91.433	37.231	66.609	47.747
Glyma.02G018700	0.485	7.125	2.581	1.309	1.067	16.329	0.032	0.075	0.102	0.017	0.016	9.968
Glyma.02G019100	5.221	4.824	16.24	32.025	23.334	19.945	23.037	31.985	24.612	22.715	13.107	11.403
Glyma.02G019200	290.995	228.543	52.284	161.145	123.361	73.198	121.044	126.827	57.551	184.902	127.339	69.695
Glyma.02G019300	2.256	0.838	6.047	3.146	1.914	2.687	3.682	2.896	3.243	3.554	2.19	2.26
Glyma.02G019400	6.946	19.618	14.408	6.634	12.515	11.641	8.369	14.512	4.332	9.163	14.076	11.513
Glyma.02G019600	423.664	349.897	144.774	355.389	243.997	95.236	380.785	274.577	77.313	326.368	289.973	105.275
Glyma.02G019700	3.389	3.681	7.517	7.171	8.829	8.226	7.586	12.288	7.99	6.314	10.671	8.377
Glyma.02G020000	14.752	11.346	4.935	10.004	9.386	13.894	6.145	8.504	5.921	6.266	4.99	20.975
Glyma.02G020100	0.468	0.504	2.147	0.544	0.516	1.587	0.626	0.349	0.855	0.493	1.536	3.324
Glyma.02G021500	0.416	1.035	0.696	0.692	1.796	1.267	0.86	2.578	3.301	0.967	0.607	0.389
Glyma.02G022000	74.032	67.227	56.611	62.697	52.669	119.68	35.493	40.094	59.912	58.181	30.423	117.815
Glyma.02G022200	18.541	41.121	8.233	4.475	7.959	38.152	1.623	3.217	4.77	1.659	1.229	6.441
Glyma.02G022300	5.527	21.033	6.236	31.499	11.624	18.024	7.055	18.064	3.008	6.429	8.318	16.921
Glyma.02G022400	4.392	8.981	4.682	2.873	2.636	8.474	1.459	1.991	3.598	2.253	2.737	9.457
Glyma.02G022500	0.828	1.282	6.513	2.652	2.35	4.098	3.877	3.043	3.913	3.354	4.164	8.575
Glyma.02G022700	0.294	0.471	7.1	5.112	12.258	0.22	11.81	21.549	2.269	2.231	3.717	1.351
Glyma.02G023400	43.615	59.524	17.162	40.174	15.662	30.892	21.227	13.351	8.784	29.462	16.794	29.232
Glyma.02G023500	3.182	2.044	3.148	6.067	3.386	10.698	6.435	6.244	8.519	6.034	3.523	10.303
Glyma.02G023800	3.154	4.928	13.876	10.688	10.922	11.261	20.752	18.519	12.148	18.699	22.599	8.595
Glyma.02G024200	4.118	2.538	1.888	3.098	1.378	11.853	2.58	1.114	1.466	2.088	1.112	13.566
Glyma.02G024900	0.798	0.218	3.544	3.907	3.389	0.021	5.95	4.36	8.563	4.13	1.79	1.13
Glyma.02G025400	0.17	0.508	1.494	6.518	3.49	0.39	7.885	5.525	2.731	9.479	3.437	0.841
Glyma.02G025500	0.368	0.533	3.98	5.706	3.817	1.804	5.637	5.627	3.756	5.709	3.672	2.289
Glyma.02G026300	230.776	111.673	4.925	181.551	93.356	31.795	202.751	157.492	30.23	229.534	91.071	46.91
Glyma.02G026400	44.593	20.66	13.42	34.325	20.924	10.146	31.692	28.812	17.761	48.481	37.17	17.438
Glyma.02G026600	1.893	1.518	4.018	6.583	5.235	3.326	5.183	7.037	9.857	3.774	4.427	3.725
Glyma.02G027000	2.906	0.841	2.645	8.767	11.594	0.288	8.243	13.511	6.737	6.694	11.076	1.455
Glyma.02G028000	0.062	0.018	27.762	22.456	3.228	0.041	141.794	2.498	5.729	21.184	29.499	2.448
Glyma.02G028600	1.353	0.291	0.389	1.679	3.367	0.706	3.645	1.319	0.162	5.117	1.378	1.625
Glyma.02G028700	15.001	5.004	7.12	24.634	13.525	59.619	28.486	10.443	5.38	41.705	19.478	24.973
Glyma.02G029800	4.874	10.763	14.179	9.117	6.306	7.322	5.828	4.314	5.639	7.057	16.529	17.943
Glyma.02G029900	0.18	1.1	4.927	0.345	6.146	0.357	2.833	1.058	0.783	0.676	0.468	1.577
Glyma.02G030200	6.012	5.569	26.839	23.696	30.315	6.749	28.174	28.859	36.296	31.616	26.392	20.033
Glyma.02G030500	0.41	0.111	1.387	1.962	2.264	0.241	3.692	3.602	3.853	4.219	3.84	1.278
Glyma.02G031100	1.939	1.319	4.169	2.659	13.24	0.858	5.546	9.77	9.205	2.7	7.522	1.986
Glyma.02G031200	11.332	9.289	23.378	28.487	26.815	11.633	34.695	30.66	34.922	41.832	33.54	18.912
Glyma.02G031300	5.114	4.384	29.679	15.65	29.842	8.453	30.386	33.665	34.882	17.721	21.327	12.078
Glyma.02G031400	0	0.119	0.018	3.906	1.913	0.589	0.094	5.312	0.171	0.195	1.064	0.148
Glyma.02G031800	11.632	8.663	5.946	4.782	5.3	18.957	4.095	5.59	4.56	3.37	2.314	6.13
Glyma.02G032100	47.736	51.857	29.935	26.323	26.788	33.302	18.012	27.168	32.617	27.137	30.023	42.881
Glyma.02G032300	3.388	1.275	13.677	34.112	20.636	1.733	64.828	54.342	67.918	37.559	64.263	23.893
Glyma.02G033400	0.396	0.589	10.039	4.269	2.726	0.59	9.794	8.184	16.082	6.911	7.905	7.117
Glyma.02G033500	15.09	5.063	11.425	11.208	5.262	7.622	7.399	6.606	8.912	7.447	3.772	11.512
Glyma.02G033600	7.871	8.041	2.894	6.28	4.362	9.467	5.944	4.371	5.74	7.201	2.337	5.875
Glyma.02G033700	1.627	1.879	3.946	1.02	2.246	5.617	0.827	0.919	1.533	1.009	1.747	5.254
Glyma.02G033900	10.962	26.689	50.666	20.622	27.102	27.852	20.355	18.829	17.566	17.791	71.587	57.204
Glyma.02G034000	3.789	2.628	3.061	3.981	7.754	14.796	4.156	6.649	5.421	3.725	2.654	7.748
Glyma.02G034051	2.186	3.117	4.822	2.825	2.698	12.881	3.156	2.781	7.773	3	2.937	12.161
Glyma.02G034100	1.351	1.66	2.72	1.708	1.185	6.548	1.675	1.16	4.218	1.654	1.759	5.756
Glyma.02G034400	2.124	0.752	0.558	1.418	0.646	4.744	0.414	0.414	0.854	1.016	0.316	1.385
Glyma.02G034700	10.505	9.211	22.841	88.198	33.027	0.906	75.857	37.538	22.477	96.597	74.378	14.642
Glyma.02G034800	8.253	9.961	25.187	11.374	11.911	9.066	11.146	8.96	9.693	10.034	16.171	17.817
Glyma.02G035000	162.53	85.507	13.922	66.697	22.082	14.82	17.512	18.897	16.177	40.558	34.638	14.904
Glyma.02G035800	17.846	11.16	8.135	13.262	7.726	21.985	11.792	8.095	9.524	9.989	3.621	10.836
Glyma.02G036000	87.768	254.073	415.158	182.315	234.22	196.983	143.69	141.875	93.356	145.552	528.065	487.456
Glyma.02G036300	40.785	42.791	74.633	93.763	88.832	41.329	104.31	79.433	59.824	80.597	73.837	44.384
Glyma.02G036700	2.562	1.844	5.082	6.494	3.796	3.157	5.207	6.357	10.151	7.085	4.449	3.923
Glyma.02G037000	4.331	2.209	17.39	7.556	10.218	4.81	7.662	7.718	13.146	8.802	12.635	9.494
Glyma.02G037100	3.487	3.129	1.64	5.084	3.191	11.627	4.952	3.481	2.331	4.701	2.768	5.706
Glyma.02G038000	4.859	7.058	17.8	11.82	11.734	5.256	12.34	9.421	7.233	15.987	19.734	10.27
Glyma.02G038100	980.693	705.585	176.663	571.555	350.421	282.825	499.329	399.092	304.519	560.471	332.284	234.22
Glyma.02G038500	1.847	1.729	1.924	2.257	4.922	4.093	2.764	8.676	5.172	1.804	1.946	2.025
Glyma.02G038601	8.143	5.984	1.1	2.48	2.117	8.986	10.339	7.569	3.03	1.035	0.443	1.422
Glyma.02G038700	28.585	80.067	97.792	45.625	68.841	50.432	33.768	30.722	20.15	38.194	177.19	129.153
Glyma.02G038800	65.368	36.224	15.105	37.603	15.437	9.817	28.863	17.428	14.997	44.604	23.375	17.844
Glyma.02G039000	31.53	8.191	3.817	5.058	2.649	12.153	0.543	2.137	6.225	1.654	1.038	13.503
Glyma.02G039400	11.947	7.413	8.099	19.122	5.418	11.376	19.313	11.421	18.869	23.257	9.135	11.113
Glyma.02G040100	0.69	0.244	2.532	4.447	2.602	0.707	5.088	4.813	3.154	3.569	5.199	1.536
Glyma.02G040700	1.219	2.773	7.006	4.59	3.881	6.739	3.744	2.749	3.903	4.945	3.429	3.746
Glyma.02G041500	7.243	9.049	2.326	6.228	2.232	21.386	1.917	5.96	2.463	0.229	0.79	9.447
Glyma.02G041900	2.031	5.276	4.038	3.664	8.971	3.192	3.449	5.288	1.917	2.999	7.27	2.014
Glyma.02G042200	2.478	3.703	8.534	2.774	3.74	11.425	1.245	2.148	6.771	1.735	1.311	12.836
Glyma.02G042500	2.147	5.867	1.221	4.383	1.654	6.874	0.277	0.128	0.051	0.077	0.018	1.698
Glyma.02G043500	2.744	2.632	3.123	3.735	2.468	25.693	4.93	3.911	7.853	3.232	3.022	13.113
Glyma.02G043900	0.268	0.739	3.915	0.646	0.497	2.88	0.457	0.567	1.238	0.46	2.079	7.274
Glyma.02G044300	0.235	0.692	7.562	11.495	3.983	0.608	8.548	7.182	29.379	8.325	7.127	2.912
Glyma.02G045100	33.948	30.673	1.013	12.88	4.049	3.304	5.325	6.311	4.637	8.531	2.17	2.712
Glyma.02G045200	8.938	24.642	22.481	10.223	16.767	23.904	9.469	10.282	11.971	9.94	34.787	31.31
Glyma.02G046200	0.494	0.114	6.8	3.453	0.869	0.247	3.43	0.81	0.92	1.898	0.266	0.267
Glyma.02G046600	32.883	11.362	3.267	23.97	4.241	9.649	13.291	6.487	3.976	20.555	4.14	8.328
Glyma.02G046800	7.027	2.116	15.247	42.297	14.866	1.026	37.467	11.414	13.317	39.764	15.343	3.219
Glyma.02G047000	64.104	24.053	10.738	55.701	10.872	14.358	33.534	14.152	17.323	42.252	9.045	12.743
Glyma.02G047600	1842.983	1335.623	532.672	1029.145	862.007	596.243	828.749	734.74	780.351	987.308	751.856	490.557
Glyma.02G047800	22.643	65.85	176.214	54.796	60.143	51.713	43.816	33.281	35.956	44.869	224.957	184.164
Glyma.02G048300	2.913	4.002	8.649	7.586	10.734	7.043	12.132	12.18	11.49	8.363	12.45	7.269
Glyma.02G048400	27.966	12.435	79.77	257.918	180.771	35.783	525.635	413.434	374.877	357.297	367.674	94.467
Glyma.02G048600	0.658	0.173	4.05	10.07	7.785	0.448	30.619	27.165	20.858	20.692	19.11	3.268
Glyma.02G048700	2.813	0.271	20.409	8.931	2.601	0.97	11.105	2.029	3.368	8.164	1.093	0.924
Glyma.02G049300	74.198	158.532	348.859	148.604	149.67	125.489	128.743	103.381	85.231	128.426	372.269	338.265
Glyma.02G051500	6.214	12.177	16.918	22.164	22.848	14.182	51.471	31.093	28.343	41.285	32.21	17.777
Glyma.02G051700	2.881	1.902	24.96	14.088	76.438	5.054	32.117	65.336	34.527	21.741	35.92	13.292
Glyma.02G052700	0.466	0.64	2.16	1.58	1.79	0.973	3.517	3.229	3.232	0.463	2.054	0.772
Glyma.02G053600	2.157	1.494	1.06	2.055	1.767	8.013	1.804	2.084	0.651	3.858	4.204	4.666
Glyma.02G053900	7.551	3.492	0.076	2.612	12.667	0.153	2.73	3.698	0.521	0.173	0.489	0.045
Glyma.02G054200	5.851	0.751	3.28	18.578	94.33	2.485	178.138	25.475	1.135	3.012	5.827	9.034
Glyma.02G055200	3.775	2.749	5.26	3.169	2.574	5.02	3.308	2.452	9.126	3.431	2.503	4.696
Glyma.02G055400	6.283	7.142	15.232	6.464	9.982	22.599	8.085	9.558	13.009	7.054	6.618	14.254
Glyma.02G055500	5.814	4.981	2.189	4.303	2.221	15.408	5.357	3.156	3.67	4.011	1.891	12.656
Glyma.02G056200	5.646	21.942	72.429	12.323	66.97	38.686	21.262	38.616	16.775	11.444	28.48	49.521
Glyma.02G057000	8.159	12.872	16.823	7.461	10.341	15.782	7.325	7.338	9.654	10.484	21.743	22.663
Glyma.02G057200	6.82	19.578	31.389	11.688	29.282	23.886	19.265	31.679	23.888	7.844	19.398	17.685
Glyma.02G057400	9.526	29.49	11.337	9.192	20.277	22.634	4.268	15.706	7.103	3.896	21.614	27.3
Glyma.02G058000	0.785	2.509	2.243	1.534	4.801	2.148	1.62	5.753	1.894	1.371	1.749	1.821
Glyma.02G058700	17.832	6.075	4.004	9.348	8.021	3.36	8.597	9.247	6.876	8.491	6.014	6.15
Glyma.02G059200	1.042	0.553	0.378	8.892	5.569	0.641	3.951	8.434	0.946	2.403	2.214	0.521
Glyma.02G059300	18.728	17.702	16.794	37.285	41.872	25.713	54.445	62.654	49.329	41.671	33.303	23.264
Glyma.02G059500	26.029	11.795	3.197	41.433	33.588	0.247	40.428	42.556	9.652	54.612	50.364	6.871
Glyma.02G059600	5.751	1.827	6.327	20.605	10.551	9.658	14.597	20.299	13.763	13.291	5.011	5.064
Glyma.02G059900	12.929	10.993	5.657	10.024	7.119	16.128	9.096	7.524	5.868	9.219	7.803	10.764
Glyma.02G060002	42.381	27.335	19.605	39.124	19.736	13.877	46.976	24.017	48.043	50.371	17.468	21.701
Glyma.02G061100	461.206	438.733	476.809	385.45	435.55	175.756	307.868	438.807	536.783	449.878	548.284	370.276
Glyma.02G061700	2.956	3.169	3.806	4.599	5.399	8.842	6.53	6.946	13.783	6.018	4.843	8.055
Glyma.02G062400	0.131	0.916	2.621	0.217	0.823	2.11	0.232	0.49	0.398	0.261	4.386	5.692
Glyma.02G063000	15.175	16.186	16.951	6.391	3.89	60.484	5.769	8.077	22.604	7.655	3.026	27.623
Glyma.02G063300	10.235	5.015	10.691	4.439	6.666	17.893	6.353	6.914	12.815	5.537	4.731	7.028
Glyma.02G063400	1.038	0.418	1.911	3.355	5.002	1.256	5.752	4.312	0.468	5.028	4.797	1.253
Glyma.02G064800	82.57	164.924	195.446	107.143	245.521	95.716	109.983	269.819	274.094	124.373	278.202	127.462
Glyma.02G064700	390.283	784.308	914.782	493.274	1157.963	445.961	504.376	1269.672	1287.872	573.454	1312.562	593.764
Glyma.02G065600	1.543	2.399	4.042	1.997	2.595	6.933	2.963	2.598	3.403	2.735	3.111	6.854
Glyma.02G066100	15.552	24.51	20.963	10.021	14.73	3.986	8.356	8.945	2.116	9.114	34.902	14.835
Glyma.02G066200	5.95	7.26	4.227	3.135	0.575	15.238	0.574	1.454	1.218	0.407	0.697	8.199
Glyma.02G067300	1.989	8.881	19.824	4.828	7.967	7.196	5.275	4.881	3.376	3.054	18.348	18.514
Glyma.02G067400	46.001	84.686	143.819	86.924	77.631	84.031	79.002	55.268	35.437	70.716	217.638	168.797
Glyma.02G068800	1.851	0.353	0.724	6.912	2.747	0.139	8.236	8.562	1.569	11.334	5.993	1.081
Glyma.02G068900	1.158	0.151	10.488	90.808	31.251	0.054	44.939	39.408	6.89	17.094	6.36	5.407
Glyma.02G069400	2.472	4.072	1.541	1.526	1.233	16.659	0.406	0.863	1.352	0.901	1.377	7.868
Glyma.02G069500	42.686	55.382	17.593	25.283	13.614	215.57	2.332	8.98	15.273	8.886	13.742	76.13
