Geneid	B03-6	B03-12	B03-16	A05-6	A05-12	A05-16	A07-6	A07-12	A07-16	B09-6	B09-12	B09-16
Glyma.01G044500	165.057	65.853	10.592	68.625	22.809	14.027	42.017	36.199	17.026	67.389	27.702	24.124
Glyma.01G044600	5.326	6.333	14.432	38.073	15.64	18.815	26.734	25.356	26.313	31.587	14.936	23.048
Glyma.01G045300	1.785	4.764	7.716	2.595	4.362	12.72	2.843	3.689	5.232	2.602	7.856	12.711
Glyma.01G045500	24.717	34.469	17.297	45.661	36.816	21.118	57.008	41.822	22.766	62.738	29.467	32.001
Glyma.01G046000	1.894	3.879	13.465	10.106	11.018	2.895	12.308	11.29	6.39	18.95	19.29	8.636
Glyma.01G046400	0.367	0.524	9.719	0.523	0.416	0.862	0.546	0.452	0.248	0.192	1.152	1.616
Glyma.01G046900	3.863	3.289	4.119	4.879	2.359	22.747	5.052	2.665	5.877	6.01	2.095	19.022
Glyma.01G047000	48.061	117.156	151.544	91.907	95.156	74.47	73.032	53.544	27.366	74.808	277.687	173.799
Glyma.01G047900	2.131	12.453	3.987	3.324	4.323	3.526	3.851	4.201	7.758	4.489	4.947	2.908
Glyma.01G048100	3.965	1.272	5.616	3.201	1.1	4.405	3.485	1.2	6.029	3.907	2.097	7.856
Glyma.01G049400	5.775	3.081	0.212	3.398	1.16	1.117	2.621	1.181	0.292	3.636	0.879	0.905
Glyma.01G050100	1.503	2.882	80.894	48.015	30.805	11.668	46.263	91.626	97.356	72.473	178.526	138.992
Glyma.01G050900	301.862	128.843	110.121	144.508	93.937	103.508	95.609	119.274	189.436	133.133	103.87	127.03
Glyma.01G051300	22.258	2.134	1.476	3.331	0.247	5.142	0.232	0.06	0.202	0.38	0.109	10.77
Glyma.01G052500	0.789	1.214	5.306	2.97	2.786	2.311	3.309	2.64	4.227	3.83	4.384	3.996
Glyma.01G052600	14.075	17.451	10.136	8.191	9.831	19.74	6.602	7.684	7.333	5.024	6.15	14.043
Glyma.01G053300	3.762	2.786	19.122	17.425	9.676	5.277	23.759	15.562	18.011	23.763	14.645	11.316
Glyma.01G053400	0.531	1.031	6.547	1.02	1.862	0.606	1.772	1.53	1.601	2.092	3.867	3.418
Glyma.01G053800	4.911	9.364	2.401	7.138	12.447	5.154	8.81	7.863	1.957	1.788	2.633	4.261
Glyma.01G054900	0.425	0.984	3.609	0.891	0.668	2.355	0.685	0.66	1.071	0.738	2.435	4.727
Glyma.01G056100	1.247	3.787	1.252	2.036	2.214	3.865	1.552	1.504	0.424	0.747	0.72	2.928
Glyma.01G056800	4.894	7.22	4.106	5.624	4.307	13.332	3.994	5.539	2.152	1.943	2.084	8.18
Glyma.01G057100	12.97	18.296	67.981	51.008	68.267	16.772	59.292	55.789	27.876	36.523	52.822	23.116
Glyma.01G057500	1.234	2.1	4.684	3.458	4.818	3.715	5.057	5.334	6.686	4.325	3.719	3.19
Glyma.01G058200	4.974	11.489	15.404	8.396	12.987	14.063	8.483	8.655	7.256	9.14	25.714	18.864
Glyma.01G058300	18.093	47.323	17.976	50.466	88.059	28.824	53.966	82.397	26.556	52.025	61.453	24.464
Glyma.01G058400	0.018	0.03	1.829	3.691	3.895	0.041	4.289	2.598	0.635	4.593	3.258	0.97
Glyma.01G058500	81.791	64.691	15.683	64.301	72.473	179.519	72.339	106.17	24.932	65.281	62.713	66.462
Glyma.01G060300	2.159	3.071	0.272	11.175	8.987	2.076	10.641	12.715	5.722	8.739	4.697	1.116
Glyma.01G061100	39.02	22.422	7.935	16.604	3.522	13.358	0.291	1.073	0.964	1.407	1.155	27.103
Glyma.01G061800	4.984	4.459	2.316	3.371	1.542	7.463	2.409	1.647	1.258	2.19	1.289	4.429
Glyma.01G062000	68.709	47.535	15.299	47.467	13.36	31.093	22.018	15.921	11.993	28.406	11.892	24
Glyma.01G062100	0.726	2.468	23.783	5.498	3.138	7.028	2.198	3.275	4.431	3.061	24.341	31.276
Glyma.01G062200	0.763	1.127	3.713	1.063	0.746	4.206	1.1	1.132	1.881	1.069	2.161	6.197
Glyma.01G062400	0.147	1.499	65.809	2.559	51.628	0.875	4.609	36.786	4.269	0.532	33.797	61.766
Glyma.01G063100	7.266	6.96	13.49	30.466	25.686	8.224	59.9	55.993	50.785	69.998	42.054	15.758
Glyma.01G063700	2.173	6.56	1.565	3.718	11.674	1.971	5.498	8.644	1.515	4.089	4.017	1.517
Glyma.01G063800	3.128	3.726	0.885	3.714	3.497	0.381	2.118	2.83	0.28	1.957	0.545	0.438
Glyma.01G065400	8.746	5.846	15.485	27.693	14.019	1.994	41.751	15.987	13.424	36.941	25.758	4.501
Glyma.01G067100	2.678	10.507	4.746	5.373	10.088	8.371	6.583	8.231	3.272	3.681	5.871	3.856
Glyma.01G067600	7.306	2.483	9.139	6.687	8.359	7.809	7.402	8.697	12.054	5.11	3.166	6.671
Glyma.01G067900	4.068	8.912	11.034	6.987	6.364	6.366	6.462	5.209	7.269	6.517	17.086	11.368
Glyma.01G068000	19.937	93.181	92.935	41.959	55.997	35.066	26.847	34.657	22.904	35.775	128.553	139.535
Glyma.01G069500	3.894	13.484	59.135	5.844	13.202	69.005	5.888	13.492	83.385	8.126	22.532	85.296
Glyma.01G071300	290.957	268.151	62.66	388.017	157.014	130.462	360.647	199.553	43.011	433.086	352.116	99.421
Glyma.01G071400	1295.798	1186.646	255.767	1686.429	694.217	404.189	1616.772	885.851	207.372	1834.012	1508.607	363.17
Glyma.01G071700	2.826	3.872	0.845	3.488	1.346	1.819	3.828	3.691	3.144	2.574	1.634	2.452
Glyma.01G074600	18.284	9.285	7.023	7.541	2.048	29.024	4.412	2.478	5.781	5.289	2.034	18.277
Glyma.01G075400	2.146	3.017	4.994	2.758	2.463	4.668	2.51	1.685	2.152	2.908	4.073	6.52
Glyma.01G076100	25.372	12.586	7.753	19.24	14.362	9.764	17.229	13.742	13.757	24.306	10.958	7.908
Glyma.01G076900	65.193	49.979	10.454	30.015	12.892	9.475	30.845	23.171	28.402	40.882	23.453	35.517
Glyma.01G077100	2.334	1.295	0.987	3.2	3.233	0.156	2.844	3.395	0.717	1.476	0.835	0.303
Glyma.01G078200	63.108	67.506	14.82	25.184	37.304	28.154	17.246	33.909	8.422	18.989	20.444	21.768
Glyma.01G078800	24.574	11.543	66.038	85.42	52.979	28.486	112.04	72.143	165.663	106.974	38.839	39.182
Glyma.01G079100	110.253	154.755	27.976	44.944	58.307	43.225	28.466	63.8	24.48	36.466	47.118	46.696
Glyma.01G080200	16.806	28.095	43.269	22.922	27.231	34.372	23.576	18.003	15.289	22.899	52.795	52.272
Glyma.01G080600	3.518	22.853	39.758	5.695	91.345	6.121	15.153	36.675	3.145	4.696	14.427	13.755
Glyma.01G081100	8.52	16.597	23.834	11.092	8.899	16.794	8.173	5.156	7.675	12.712	30.514	37.689
Glyma.01G081300	2.753	6.406	285.698	48.269	134.472	11.743	114.025	147.704	171.552	77.372	282.49	139.683
Glyma.01G081600	33.336	105.813	78.528	75.96	172.435	75.514	141.421	160.827	90.827	91.391	76.275	39.995
Glyma.01G081900	3.856	7.965	4.759	12.635	5.273	4.278	18.317	7.142	1.054	12.75	7.64	1.783
Glyma.01G082000	5.303	3.05	2.164	1.364	0.919	0.45	0.98	1.016	0.45	0.684	0.765	0.138
Glyma.01G083000	8.16	75.495	37.429	22.445	83.637	94.886	28.8	76.971	66.503	34.222	64.398	59.912
Glyma.01G083700	1.653	8.617	2.167	0.826	1.669	1.755	0.671	2.355	1.302	0.78	2.079	2.288
Glyma.01G084500	4.161	3.508	10.182	9.322	10.284	15.17	17.873	16.091	18.873	11.563	7.662	10.362
Glyma.01G084600	1.572	2.511	13.692	9.092	14.206	3.791	15.653	18.139	15.343	10.901	12.238	5.414
Glyma.01G084700	56.108	56.508	35.06	26.476	33.634	83.637	20.84	36.412	40.262	25.701	25.244	56.119
Glyma.01G084800	8.774	3.883	0.901	5.435	0.94	1.456	0.945	1.387	1.063	2.224	0.784	0.497
Glyma.01G086000	0.665	3.237	6.34	1.247	2.108	4.444	0.854	1.174	1.201	1.106	9.498	10.757
Glyma.01G087500	33.071	8.237	16.238	21.84	12.623	37.019	40.261	26.561	35.242	25.42	12.026	63.027
Glyma.01G087700	2.465	4.094	9.684	5.162	8.376	8.221	6.297	10.304	16.893	5.97	5.871	8.445
Glyma.01G087800	3.138	1.74	10.044	10.166	3.625	8.67	8.007	4.087	11.366	13.971	4.287	9.257
Glyma.01G087900	158.655	61.405	9.224	103.083	31.774	22.953	77.873	35.221	18.359	104.072	21.364	21.139
Glyma.01G089100	57.369	28.952	21.931	49.69	28.616	37.817	49.989	41.933	42.406	59.247	23.041	29.727
Glyma.01G089202	51.382	21.063	10.906	46.375	15.25	20.207	38.8	19.773	16.116	69.204	16.439	18.338
Glyma.01G089300	325.4	133.693	66.255	290.6	87.694	92.116	238.158	115.681	155.147	389.577	108.834	99.77
Glyma.01G093400	7.932	10.201	10.69	11.538	14.94	6.774	13.313	17.926	30.909	18.504	16.51	11.375
Glyma.01G093800	5.993	9.537	0.495	3.075	2.619	10.422	2.384	1.409	0.617	0.776	1.429	3.339
Glyma.01G096200	170.617	65.248	45.921	159.5	45.967	21.273	127.71	64.035	132.418	213.759	71.57	31.144
Glyma.01G096000	69.583	33.461	20.6	44.594	17.397	107.805	29.304	20.429	31.11	34.225	12.539	74.827
Glyma.01G095900	244.948	231.352	284.67	68.153	46.425	391.759	65.901	71.054	144.094	79.193	66.958	269.791
Glyma.01G095500	0.062	0	26.553	10.477	4.072	0	14.983	7.774	30.938	18.511	13.356	9.259
Glyma.01G095232	141.319	116.39	822.513	85.076	222.584	9.951	185.11	171.294	105.117	66.394	38.484	89.533
Glyma.01G096600	15.188	27.086	25.824	12.561	50.827	15.908	30.683	48.035	7.471	11.495	16.039	16.354
Glyma.01G097100	163.519	85.584	45.804	176.36	115.758	19.922	159.502	133.052	85	226.121	107.808	35.324
Glyma.01G097900	7.284	11.843	13.449	18.039	40.635	18.001	18.052	56.699	36.573	36.29	87.073	32.371
Glyma.01G098400	1.369	1.189	3.28	4.299	2.658	4.133	8.333	5.6	9.125	5.185	3.508	6.222
Glyma.01G098700	29.211	34.776	22.024	201.005	108.558	9.78	200.17	76.325	11.25	246.423	64.91	7.005
Glyma.01G100900	5.186	12.238	28.136	11.415	12.814	16.432	9.82	8.182	8.292	9.934	42.587	34.057
Glyma.01G102600	39.69	93.108	53.703	29.938	62.12	69.939	26.226	45.939	19.961	13.842	51.777	54.116
Glyma.01G104100	1.416	0.897	17.519	11.731	7.285	2.245	15.597	11.266	28.081	23.686	19.338	14.236
Glyma.01G104200	4.751	4.541	1.71	5.425	3.469	6.767	2.883	4.247	3.37	2.747	2.349	3.686
Glyma.01G104800	10.904	19.012	47.572	40.101	111.921	21.46	43.981	65.673	48.45	47.78	46.791	40.715
Glyma.01G105000	11.825	31.656	10.38	6.489	19.678	7.702	6.376	17.954	0.203	0.478	2.389	4.312
Glyma.01G105200	10.731	11.544	0.585	6.136	5.362	13.265	4.572	4.33	0.507	1.032	1.62	1.55
Glyma.01G106000	4.303	6.115	9.167	5.595	8.503	22.036	8.296	8.128	3.537	3.184	7.135	7.593
Glyma.01G106100	7.061	5.081	12.967	40.55	20.501	2.87	55.85	28.322	26.533	44.533	30.577	6.248
Glyma.01G106200	13.194	7.724	26.954	41.059	27.964	6.326	33.111	28.329	30.756	49.154	27.575	19.468
Glyma.01G106700	2.058	22.375	41.787	1.143	13.142	107.339	2.214	18.367	84.754	1.516	21.846	104.969
Glyma.01G107850	0.401	0.268	3.124	5.444	1.443	1.219	5.681	2.971	4.786	7.274	2.591	1.588
Glyma.01G107901	0.794	0.905	11.32	14.041	4.012	3.481	13.535	8.38	10.624	21.796	6.345	4.754
Glyma.01G107951	0.445	0.379	4.017	4.849	1.87	1.081	5.599	3.371	4.942	6.973	2.322	2.05
Glyma.01G109200	6.114	4.258	8.015	14.299	7.968	5.098	17.775	14.864	18.951	17.365	9.961	8.727
Glyma.01G109300	43.858	53.916	135.195	81.546	55.373	47.928	74.204	57.938	58.476	72.449	88.519	73.681
Glyma.01G109500	50.882	72.654	12.579	33.729	34.035	25.229	25.49	34.986	11.807	31.375	47.818	46.721
Glyma.01G109700	2.318	15.316	46.163	9.433	9.922	14.234	3.823	4.152	10.143	6.496	40.761	69.768
Glyma.01G110200	1.039	1.423	4.62	3.919	3.74	3.248	5.635	5.047	7.367	5.252	3.712	3.927
Glyma.01G110600	2.841	4.417	10.337	3.543	3.15	9.912	3.928	2.486	2.778	2.881	6.593	15.524
Glyma.01G112400	0	10.794	22.475	0.06	4.133	0	0	0.497	0	0	0.075	0.018
Glyma.01G112600	17.126	12.079	9.391	17.931	16.306	9.676	18.161	24.372	24.696	17.066	16.574	4.094
Glyma.01G112700	1.25	0.449	0.427	2.141	1.134	0.773	1.654	3.812	0.857	0.738	0.45	0.612
Glyma.01G112900	17.229	8.745	5.584	11.556	8.879	6.156	10.728	18.234	4.691	4.625	4.461	4.803
Glyma.01G113000	68.571	27.264	29.632	70.545	35.693	40.94	65.454	47.588	54.195	75.67	24.886	27.439
Glyma.01G113200	10.086	17.551	11.98	30.282	22.23	3.748	31.041	36.892	20.207	35.187	29.3	8.54
Glyma.01G114000	9.96	2.811	16.544	27.809	10.447	6.908	22.752	16.239	39.047	35.846	13.017	18.95
Glyma.01G114300	87.844	56.381	97.668	98.135	62.941	41.304	95.558	41.109	33.757	97.561	88.912	68.603
Glyma.01G114400	0.879	1.197	1.23	1.746	2.017	8.937	2.669	2.045	3.133	1.57	1.755	4.122
Glyma.01G114800	42.94	28.545	108.072	74.649	66.838	47.101	90.262	60.535	109.934	84.069	78.704	99.162
Glyma.01G115000	40.292	19.086	1.328	32.799	8.926	6.041	30.087	10.945	2.487	31.754	4.646	7.115
Glyma.01G116300	7.361	12.252	5.603	3.517	0.309	10.824	0.432	0.394	0.05	0.088	0.085	2.299
Glyma.01G117900	0.881	1.662	1.487	0.837	0.753	8.766	1.411	1.239	2.858	0.988	0.956	4.591
Glyma.01G118350	2.691	3.643	4.492	6.026	14.089	6.906	20.366	18.149	9.407	7.375	7.951	4.021
Glyma.01G119300	1.136	0.869	10.169	13.445	8.164	1.023	10.35	10.612	4.88	8.04	4.321	1.67
Glyma.01G119400	6.894	23.339	37.143	11.578	22.418	16.733	11.559	9.002	9.111	9.721	58.694	35.661
Glyma.01G119500	6.475	6.826	24.108	5.62	11.127	19.561	4.87	7.205	12.749	4.364	11.195	19.462
Glyma.01G120300	0.702	0.233	0.177	2.216	0.972	8.428	0.317	0.405	0.023	3.486	0.927	2.355
Glyma.01G120400	38.004	46.061	51.631	41.422	75.269	16.171	58.236	73.902	32.577	50.37	44.127	27.548
Glyma.01G121209	9.531	101.289	70.31	19.655	325.017	26.237	26.868	88.514	1.386	2.915	9.801	14.033
Glyma.01G121700	43.738	13.522	59.18	78.471	35.522	31.937	87.095	50.926	98.798	125.259	56.082	56.924
Glyma.01G122000	4.876	2.834	9.302	2.967	1.539	14.072	2.028	2.586	13.308	2.695	2.6	9.955
Glyma.01G124300	6.055	22.69	55.511	11.289	17.403	20.937	7.554	8.244	9.605	9.12	93.682	73.479
Glyma.01G124500	6.279	8.37	51.113	105.484	257.112	32.528	181.712	198.209	236.108	195.686	38.929	47.833
