Geneid	RB_0d-1	RB_0d-2	RB_0d-3	SB_0d-1	SB_0d-2	SB_0d-3	RB_28d-1	RB_28d-2	RB_28d-3	SB_28d-1	SB_28d-2	SB_28d-3	RB_7d-1	RB_7d-2	RB_7d-3	SB_7d-1	SB_7d-2	SB_7d-3
PLBR_LOCUS4026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS4027	0.000	0.000	0.000	0.000	0.000	0.000	0.979	1.683	0.220	19.207	12.772	39.742	0.000	0.068	0.000	0.117	3.903	0.000
PLBR_LOCUS4028	0.000	0.000	0.000	0.000	0.000	0.000	2.247	3.783	0.350	56.812	69.207	100.870	0.000	0.000	0.000	0.348	12.827	0.314
PLBR_LOCUS4029	0.075	0.000	0.000	0.000	0.040	0.000	3.094	4.673	0.849	80.132	78.377	80.903	0.000	0.181	0.021	0.715	4.071	0.087
PLBR_LOCUS4030	0.000	0.000	0.000	0.000	0.000	0.000	0.352	0.164	0.080	2.318	2.079	0.753	0.029	0.000	0.071	0.013	0.014	0.000
PLBR_LOCUS4031	0.000	0.000	0.000	0.000	0.000	0.000	0.174	0.039	0.000	0.602	0.962	0.121	0.000	0.000	0.120	0.036	0.038	0.000
PLBR_LOCUS4032	0.042	0.025	0.000	0.000	0.000	0.000	10.005	14.294	2.904	119.425	90.967	127.305	0.149	0.129	0.194	1.695	7.861	0.249
PLBR_LOCUS4033	0.000	0.021	0.000	0.020	0.000	0.000	0.746	1.794	0.309	35.153	43.449	34.210	0.000	0.066	0.000	0.492	1.182	0.021
PLBR_LOCUS4034	0.000	0.234	0.150	0.223	0.072	0.062	13.340	20.682	3.395	377.273	542.751	335.377	0.235	0.486	0.229	6.098	27.601	0.157
PLBR_LOCUS4035	0.000	0.000	0.000	0.000	0.000	0.098	4.048	5.938	1.235	207.757	208.780	157.232	0.370	0.000	0.120	0.218	11.917	0.123
PLBR_LOCUS4036	0.000	0.000	0.000	0.000	0.021	0.000	1.281	0.948	0.381	8.585	10.222	8.586	0.183	0.095	0.446	0.404	0.814	0.023
PLBR_LOCUS4037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS4038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.000	0.650	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS4039	0.000	0.000	0.000	0.054	0.000	0.000	4.416	7.442	1.462	116.148	136.592	111.446	0.000	0.178	0.167	1.265	5.306	0.114
PLBR_LOCUS4040	0.000	0.000	0.000	0.000	0.000	0.000	0.053	0.070	0.000	1.775	1.599	1.567	0.025	0.051	0.194	0.044	0.116	0.000
PLBR_LOCUS4041	0.059	0.035	0.066	0.033	0.064	0.083	10.959	19.965	3.081	249.949	270.502	278.898	0.277	0.574	0.203	4.016	17.926	0.312
PLBR_LOCUS4042	0.000	0.045	0.000	0.000	0.000	0.000	1.050	0.383	0.050	3.806	6.191	3.910	0.271	0.000	0.440	0.080	0.000	0.045
PLBR_LOCUS4043	0.000	0.000	0.000	0.000	0.000	0.032	0.992	1.500	0.317	16.975	14.807	18.625	0.041	0.000	0.000	0.036	1.338	0.000
PLBR_LOCUS4044	0.150	0.058	0.056	0.000	0.108	0.047	1.550	4.367	0.782	90.861	113.700	87.742	0.000	0.303	0.057	0.570	4.835	0.117
PLBR_LOCUS4045	0.000	0.048	0.046	0.046	0.000	0.000	2.592	4.350	0.908	62.050	88.807	79.213	0.048	0.099	0.000	1.190	5.944	0.144
PLBR_LOCUS4046	0.000	0.000	0.080	0.039	0.077	0.000	2.284	1.840	0.554	59.024	90.423	49.312	0.083	0.129	0.365	0.367	2.451	0.041
PLBR_LOCUS4047	0.042	0.000	0.023	0.139	0.045	0.000	0.983	1.015	0.435	63.391	83.256	72.713	0.000	0.177	0.143	0.173	0.757	0.098
PLBR_LOCUS4048	0.000	0.028	0.000	0.000	0.013	0.000	1.092	1.684	0.372	14.350	15.650	22.329	0.000	0.159	0.027	0.259	1.138	0.014
PLBR_LOCUS4049	0.000	0.115	0.000	0.000	0.000	0.000	0.735	0.764	0.515	15.283	22.080	20.484	0.000	0.000	0.000	0.102	1.411	0.116
PLBR_LOCUS4050	0.000	0.000	0.047	0.000	0.000	0.000	4.278	7.767	1.480	59.306	50.486	51.225	0.000	0.204	0.144	1.440	3.420	0.148
PLBR_LOCUS4051	0.000	0.000	0.000	0.081	0.000	0.000	0.909	1.134	0.477	12.520	8.981	8.135	0.000	0.000	0.000	0.836	1.208	0.000
PLBR_LOCUS4052	0.000	0.000	0.000	0.000	0.000	0.000	0.566	1.087	0.183	15.239	12.700	14.892	0.000	0.000	0.000	0.182	0.964	0.000
PLBR_LOCUS4053	0.000	0.000	0.000	0.000	0.000	0.000	1.354	0.679	0.445	10.560	6.759	11.746	0.000	0.000	0.000	0.142	0.975	0.000
PLBR_LOCUS4054	0.314	0.091	0.088	0.000	0.169	0.073	6.508	12.557	2.551	162.955	186.175	180.658	0.000	0.095	0.090	2.437	12.307	0.459
PLBR_LOCUS4055	0.147	0.000	0.000	0.000	0.000	0.137	6.573	9.441	0.767	171.817	190.995	161.423	0.345	0.536	0.842	2.596	10.515	0.690
PLBR_LOCUS4056	0.000	0.000	0.000	0.000	0.000	0.000	3.795	0.515	0.173	0.929	0.783	0.687	0.702	0.081	4.338	1.794	0.219	0.000
PLBR_LOCUS4057	0.000	0.000	0.175	0.000	0.000	0.021	11.249	0.294	0.029	2.645	2.457	3.359	3.846	0.457	11.011	3.887	0.585	0.052
PLBR_LOCUS4058	0.080	0.000	0.000	0.268	0.000	0.000	9.561	12.963	1.883	301.176	323.797	223.301	1.035	0.195	1.194	1.916	19.677	0.471
