Geneid	RB_0d-1	RB_0d-2	RB_0d-3	SB_0d-1	SB_0d-2	SB_0d-3	RB_28d-1	RB_28d-2	RB_28d-3	SB_28d-1	SB_28d-2	SB_28d-3	RB_7d-1	RB_7d-2	RB_7d-3	SB_7d-1	SB_7d-2	SB_7d-3
PLBR_LOCUS2916	0.000	0.000	0.000	0.000	0.000	0.000	0.223	0.398	0.084	2.346	3.917	2.763	0.000	0.000	0.015	0.187	0.339	0.000
PLBR_LOCUS2917	0.000	0.086	0.124	0.000	0.000	0.034	6.588	2.651	0.961	59.427	63.704	50.673	1.686	0.000	2.870	1.378	3.121	0.259
PLBR_LOCUS2918	0.000	0.000	0.000	0.000	0.000	0.000	0.159	0.071	0.000	7.180	7.370	8.736	0.038	0.078	0.257	0.000	0.565	0.000
PLBR_LOCUS2919	0.000	0.000	0.000	0.000	0.000	0.000	0.359	0.071	0.000	2.071	5.827	2.709	0.075	0.078	0.110	0.167	0.106	0.000
PLBR_LOCUS2920	0.000	0.000	0.046	0.000	0.044	0.000	0.403	0.000	0.106	34.130	197.185	34.788	0.095	0.099	0.233	0.000	0.045	0.000
PLBR_LOCUS2921	0.000	0.000	0.000	0.000	0.000	0.000	0.590	0.421	0.248	19.031	21.847	25.730	0.000	0.231	0.109	0.099	1.778	0.000
PLBR_LOCUS2922	0.176	0.000	0.000	0.098	0.000	0.123	7.408	10.101	2.289	149.250	142.562	188.668	0.051	0.320	0.050	2.232	13.851	0.257
PLBR_LOCUS2923	0.000	0.000	0.000	0.000	0.000	0.000	2.500	1.548	0.219	59.984	58.687	68.662	0.328	0.000	0.256	0.813	2.030	0.131
PLBR_LOCUS2924	0.000	0.000	0.000	0.063	0.000	0.000	2.028	2.992	0.514	30.720	24.216	42.217	0.000	0.068	0.000	0.234	2.168	0.066
PLBR_LOCUS2925	0.239	0.000	0.000	0.177	0.000	0.074	8.972	15.031	3.522	353.183	458.699	306.115	0.279	0.579	0.455	3.628	21.664	0.652
PLBR_LOCUS2926	0.000	0.000	0.000	0.000	0.000	0.000	0.829	0.106	0.062	2.617	3.512	2.589	0.308	0.000	0.355	0.223	0.210	0.056
PLBR_LOCUS2927	0.000	0.000	0.000	0.000	0.000	0.000	0.939	2.283	0.538	11.983	10.462	10.248	0.000	0.084	0.079	0.286	2.420	0.000
PLBR_LOCUS2928	0.034	0.000	0.000	0.038	0.000	0.000	3.287	4.883	0.753	62.980	51.305	64.737	0.000	0.082	0.000	0.951	4.890	0.119
PLBR_LOCUS2929	0.000	0.000	0.000	0.068	0.000	0.057	1.758	2.589	0.642	80.467	97.356	78.710	0.072	0.075	0.000	0.447	3.928	0.000
PLBR_LOCUS2930	0.043	0.000	0.049	0.000	0.000	0.000	0.375	0.239	0.113	12.026	101.853	41.350	0.000	0.000	0.000	0.000	0.760	0.000
PLBR_LOCUS2931	0.021	0.000	0.000	0.046	0.000	0.000	1.487	1.943	0.458	30.396	31.690	47.565	0.024	0.075	0.024	0.322	1.272	0.097
PLBR_LOCUS2932	0.000	0.000	0.000	0.000	0.000	0.000	0.314	0.140	0.000	5.832	10.104	10.013	0.049	0.051	0.097	0.066	0.209	0.025
PLBR_LOCUS2933	0.000	0.000	0.054	0.053	0.000	0.045	2.732	3.283	0.811	99.793	96.601	77.736	0.056	0.232	0.000	0.596	6.473	0.112
PLBR_LOCUS2934	0.000	0.000	0.000	0.000	0.000	0.000	0.481	1.629	0.000	9.502	8.822	14.952	0.273	0.000	0.000	0.161	0.426	0.000
PLBR_LOCUS2935	0.000	0.066	0.000	0.000	0.000	0.053	7.342	11.657	1.984	143.480	167.967	153.631	0.396	0.205	0.452	2.222	11.400	0.330
PLBR_LOCUS2936	0.000	0.000	0.050	0.049	0.048	0.041	7.512	16.102	3.076	141.863	116.564	170.765	0.052	0.216	0.153	1.986	11.109	0.104
PLBR_LOCUS2937	0.014	0.000	0.000	0.000	0.000	0.013	2.037	2.630	0.295	31.754	35.848	33.766	0.000	0.000	0.032	0.470	1.727	0.050
PLBR_LOCUS2938	0.117	0.000	0.000	0.098	0.000	0.000	2.542	7.414	1.374	148.494	163.695	152.139	0.069	0.142	0.000	0.850	5.727	0.137
PLBR_LOCUS2939	0.000	0.000	0.000	0.000	0.000	0.000	1.670	2.930	0.679	33.403	33.845	49.222	0.051	0.053	0.000	1.014	2.530	0.204
PLBR_LOCUS2940	0.000	0.000	0.000	0.000	0.000	0.000	0.307	0.342	0.725	19.347	22.325	17.305	0.000	0.000	0.000	0.193	0.952	0.072
PLBR_LOCUS2941	0.000	0.130	0.000	0.165	0.120	0.000	3.034	8.851	1.207	104.950	135.017	100.670	0.130	0.315	0.042	1.038	7.005	0.130
PLBR_LOCUS2942	0.118	0.138	0.397	0.000	0.764	0.110	63.979	107.171	16.574	1664.756	1632.017	1373.992	0.276	2.716	0.539	22.845	157.628	2.760
PLBR_LOCUS2943	0.000	0.000	0.000	0.000	0.044	0.000	0.357	0.182	0.000	0.088	0.121	0.424	0.193	0.000	0.329	0.128	0.135	0.000
PLBR_LOCUS2944	0.000	0.000	0.000	0.000	0.000	0.000	1.347	2.916	0.910	85.517	105.185	76.965	0.000	0.000	0.000	0.241	3.665	0.091
PLBR_LOCUS2945	0.000	0.000	0.000	0.051	0.000	0.000	0.057	0.358	0.000	13.560	21.076	10.900	0.000	0.000	0.000	0.000	0.152	0.000
PLBR_LOCUS2946	0.000	0.000	0.000	0.000	0.000	0.000	2.473	3.935	1.151	84.159	98.746	88.143	0.118	0.061	0.058	0.812	5.741	0.237
PLBR_LOCUS2947	0.000	0.231	0.000	0.000	0.000	0.000	1.636	1.824	0.344	101.457	103.059	81.310	0.000	0.080	0.000	0.000	2.465	0.000
PLBR_LOCUS2948	0.000	0.000	0.000	0.028	0.000	0.000	3.181	0.822	0.301	29.461	29.322	24.102	0.661	0.093	1.320	0.479	0.676	0.000
PLBR_LOCUS2949	0.000	0.000	0.043	0.000	0.000	0.000	0.659	2.811	0.593	41.228	42.755	33.018	0.000	0.000	0.087	0.276	1.418	0.000
PLBR_LOCUS2950	0.000	0.094	0.090	0.000	0.000	0.000	0.000	0.000	0.314	10.269	8.504	4.907	0.000	0.000	0.000	0.000	0.088	0.000
PLBR_LOCUS2951	0.000	0.000	0.000	0.000	0.000	0.000	0.183	0.082	0.048	2.458	3.003	4.127	0.303	0.000	0.211	0.115	0.203	0.000
PLBR_LOCUS2952	0.000	0.000	0.000	0.000	0.000	0.000	1.055	2.469	0.416	52.175	52.614	40.915	0.000	0.065	0.000	0.386	2.805	0.000
PLBR_LOCUS2953	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.322	0.000	0.729	0.951	0.918	0.000	0.000	0.000	0.000	0.213	0.000
PLBR_LOCUS2954	0.029	0.168	0.194	0.032	0.000	0.000	19.434	0.446	0.375	0.124	0.198	0.174	8.336	0.874	19.476	5.796	0.538	0.236
PLBR_LOCUS2955	0.018	0.000	0.000	0.000	0.000	0.000	0.904	0.846	0.190	30.024	37.648	19.750	0.171	0.066	0.125	0.208	1.001	0.107
PLBR_LOCUS2956	0.000	0.095	0.000	0.000	0.000	0.000	1.072	1.971	0.458	31.900	45.715	39.007	0.000	0.066	0.000	0.224	1.336	0.127
PLBR_LOCUS2957	0.053	0.000	0.000	0.000	0.000	0.000	1.643	3.282	0.276	37.477	35.185	31.839	0.000	0.064	0.000	0.660	6.872	0.062
PLBR_LOCUS2958	0.000	0.000	0.000	0.000	0.000	0.000	2.199	3.110	1.195	99.432	99.065	103.000	0.000	0.074	0.070	0.571	8.332	0.000
PLBR_LOCUS2959	0.037	0.043	0.041	0.000	0.000	0.000	3.211	0.444	0.190	24.611	24.782	25.705	0.214	0.221	1.711	0.378	0.120	0.000
PLBR_LOCUS2960	0.184	0.107	0.000	0.102	0.000	0.000	2.622	1.016	0.120	73.187	90.574	60.986	0.000	0.000	0.000	0.286	3.636	0.108
PLBR_LOCUS2961	0.000	0.000	0.000	0.062	0.000	0.000	2.702	2.841	0.437	128.331	161.574	103.208	0.065	0.203	0.000	0.290	6.199	0.327
PLBR_LOCUS2962	0.000	0.000	0.000	0.000	0.000	0.000	4.014	0.275	0.000	11.665	12.060	9.213	0.350	0.181	2.563	1.291	0.328	0.000
PLBR_LOCUS2963	0.000	0.109	0.105	0.000	0.000	0.000	11.913	1.753	0.547	19.442	11.065	17.256	11.910	0.905	14.617	3.966	1.076	0.219
PLBR_LOCUS2964	0.000	0.000	0.000	0.000	0.000	0.000	0.599	1.015	0.063	19.580	21.326	16.013	0.000	0.000	0.221	0.251	0.637	0.000
PLBR_LOCUS2965	0.000	0.000	0.000	0.000	0.000	0.000	0.106	0.024	0.000	2.652	3.724	1.348	0.025	0.000	0.025	0.045	0.071	0.000
PLBR_LOCUS2966	0.099	0.116	0.056	0.275	0.054	0.138	32.866	55.751	9.165	658.612	829.939	709.957	0.174	0.902	0.057	16.492	52.305	1.683
PLBR_LOCUS2967	0.706	0.274	0.000	0.435	0.085	0.073	23.994	40.702	6.225	467.655	544.624	1137.876	0.184	1.331	0.179	3.656	24.442	0.367
PLBR_LOCUS2968	0.000	0.000	0.000	0.000	0.000	0.000	0.089	0.158	0.047	1.655	1.966	2.589	0.042	0.000	0.000	0.000	0.079	0.000
PLBR_LOCUS2969	0.000	0.000	0.000	0.000	0.000	0.000	1.725	0.055	0.000	9.131	6.139	4.276	0.233	0.000	0.625	0.309	0.491	0.000
PLBR_LOCUS2970	0.084	0.367	0.118	0.140	0.091	0.176	24.708	29.879	4.313	416.160	432.410	561.087	0.614	1.093	1.246	5.649	20.164	0.614
PLBR_LOCUS2971	0.000	0.000	0.000	0.129	0.000	0.000	2.879	5.004	0.756	60.822	78.830	66.323	0.000	0.000	0.133	1.404	4.889	0.136
PLBR_LOCUS2972	0.000	0.000	0.000	0.009	0.009	0.016	0.801	1.020	0.186	10.652	11.718	12.443	0.000	0.051	0.029	0.348	0.756	0.000
PLBR_LOCUS2973	0.000	0.094	0.000	0.000	0.000	0.000	1.693	2.841	0.314	46.859	47.247	51.419	0.094	0.000	0.184	0.083	2.735	0.000
PLBR_LOCUS2974	0.000	0.092	0.000	0.132	0.000	0.000	3.575	1.877	0.206	35.729	34.306	43.533	1.388	0.096	1.897	0.819	2.473	0.000
PLBR_LOCUS2975	0.000	0.000	0.000	0.292	0.000	0.000	4.885	2.419	0.342	33.672	23.773	45.346	1.026	0.106	1.802	1.453	2.789	0.000
PLBR_LOCUS2976	0.000	0.000	0.000	0.000	0.000	0.000	0.916	2.273	0.377	19.986	13.513	22.531	0.000	0.117	0.147	0.833	3.177	0.000
PLBR_LOCUS2977	0.000	0.000	0.000	0.000	0.000	0.000	0.351	0.000	0.000	0.000	0.139	0.000	0.083	0.000	0.000	0.147	0.000	0.000
PLBR_LOCUS2978	0.000	0.046	0.000	0.000	0.000	0.036	0.678	2.116	0.407	25.189	36.469	26.662	0.092	0.047	0.089	0.365	1.417	0.092
PLBR_LOCUS2979	0.000	0.000	0.000	0.000	0.000	0.000	1.292	3.271	0.131	34.571	30.886	41.515	0.079	0.082	0.308	0.314	2.807	0.039
PLBR_LOCUS2980	0.000	0.000	0.000	0.000	0.000	0.000	0.210	0.514	0.055	5.453	6.510	6.878	0.000	0.000	0.000	0.175	0.651	0.000
PLBR_LOCUS2981	0.041	0.530	0.046	0.138	0.000	0.231	79.032	125.067	21.040	464.804	361.559	471.055	0.097	0.501	0.142	23.089	48.465	1.307
PLBR_LOCUS2982	0.052	0.304	0.117	0.058	0.113	0.000	10.409	17.176	3.328	379.438	492.433	306.256	0.183	0.443	0.298	3.731	21.309	0.916
PLBR_LOCUS2983	0.072	0.056	0.000	0.000	0.000	0.022	1.360	1.581	0.217	44.958	57.176	65.959	0.028	0.145	0.082	0.346	1.834	0.028
PLBR_LOCUS2984	0.043	0.000	0.000	0.048	0.000	0.000	8.398	15.353	2.848	426.018	427.398	343.985	0.151	0.416	0.147	1.867	21.709	0.151
PLBR_LOCUS2985	0.000	0.000	0.000	0.046	0.000	0.038	1.682	2.998	1.071	89.275	100.478	90.096	0.193	0.100	0.047	0.256	5.147	0.048
PLBR_LOCUS2986	0.092	0.071	0.000	0.068	0.033	0.000	34.016	58.723	8.048	280.551	325.561	302.999	0.394	0.779	0.490	13.987	49.356	0.896
PLBR_LOCUS2987	0.000	0.000	0.000	0.000	0.000	0.000	0.437	0.389	0.000	7.125	8.227	5.706	0.000	0.000	0.537	0.061	0.387	0.000
PLBR_LOCUS2988	0.000	0.000	0.000	0.000	0.000	0.000	0.136	1.819	0.286	30.285	35.591	32.748	0.000	0.000	0.000	0.000	0.964	0.000
PLBR_LOCUS2989	0.023	0.000	0.026	0.000	0.025	0.000	2.083	4.198	0.360	40.380	43.954	42.043	0.000	0.084	0.053	0.453	2.023	0.054
PLBR_LOCUS2990	0.000	0.000	0.000	0.000	0.000	0.000	0.300	0.625	0.070	4.337	2.902	3.959	0.032	0.033	0.000	0.251	0.680	0.000
PLBR_LOCUS2991	0.070	0.041	0.000	0.000	0.038	0.032	3.416	6.862	1.272	104.507	116.423	93.719	0.000	0.169	0.000	0.868	9.425	0.000
PLBR_LOCUS2992	0.029	0.034	0.000	0.000	0.000	0.027	2.247	3.910	0.412	51.693	36.963	47.090	0.000	0.070	0.000	0.328	3.696	0.034
PLBR_LOCUS2993	0.052	0.000	0.000	0.000	0.057	0.000	4.670	8.038	1.159	90.268	85.240	105.017	0.184	0.254	0.239	1.139	5.862	0.184
PLBR_LOCUS2994	0.000	0.000	0.000	0.000	0.000	0.000	0.196	0.560	0.083	0.851	0.745	2.999	0.000	0.000	0.000	0.033	0.104	0.000
PLBR_LOCUS2995	0.000	0.000	0.000	0.000	0.000	0.000	0.994	1.524	0.042	2.067	5.438	6.952	0.113	0.000	0.880	0.299	0.282	0.000
PLBR_LOCUS2996	0.215	0.669	0.000	0.239	0.077	0.267	41.837	77.446	14.558	1043.370	1444.664	1064.345	2.014	2.086	4.589	27.041	96.799	2.014
PLBR_LOCUS2997	0.000	0.033	0.000	0.000	0.015	0.013	0.825	0.735	0.129	5.001	7.269	14.342	0.182	0.120	0.291	0.176	0.342	0.000
PLBR_LOCUS2998	0.053	0.000	0.000	0.000	0.000	0.000	3.110	3.717	1.529	118.805	145.241	120.402	0.063	0.324	0.000	0.830	8.970	0.250
PLBR_LOCUS2999	0.000	0.000	0.000	0.000	0.000	0.039	1.401	2.313	0.763	100.137	95.764	78.072	0.049	0.051	0.000	0.217	2.483	0.098
PLBR_LOCUS3000	0.000	0.000	0.000	0.000	0.000	0.000	0.158	0.168	0.099	2.047	2.889	2.099	0.030	0.000	0.000	0.000	0.167	0.000
PLBR_LOCUS3001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.790	9.171	6.037	0.137	0.000	0.000	0.121	0.000	0.000
PLBR_LOCUS3002	0.000	0.156	0.000	0.000	0.000	0.062	6.463	8.864	2.873	206.333	261.975	217.452	0.078	0.486	0.076	1.802	15.269	0.391
PLBR_LOCUS3003	0.000	0.000	0.067	0.000	0.000	0.000	0.223	0.265	0.000	1.612	2.648	2.066	0.070	0.000	0.000	0.187	0.000	0.000
PLBR_LOCUS3004	0.000	0.058	0.000	0.000	0.000	0.000	0.674	0.219	0.064	27.410	53.415	24.291	0.000	0.060	0.000	0.051	0.923	0.058
PLBR_LOCUS3005	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.354	0.147	14.640	16.477	14.478	0.044	0.000	0.065	0.039	0.269	0.000
PLBR_LOCUS3006	0.000	0.000	0.000	0.000	0.000	0.046	18.857	28.842	4.726	61.779	48.772	75.605	0.000	0.000	0.114	6.648	15.833	0.408
PLBR_LOCUS3007	0.000	0.073	0.000	0.069	0.000	0.000	5.007	8.515	2.023	187.354	155.792	178.910	0.146	0.377	0.000	0.966	11.056	0.146
PLBR_LOCUS3008	0.000	0.000	0.000	0.000	0.000	0.000	0.244	0.040	0.047	2.155	2.283	0.971	0.000	0.022	0.041	0.074	0.098	0.000
PLBR_LOCUS3009	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.648	0.000	10.934	7.271	7.243	0.000	0.042	0.000	0.072	0.341	0.000
PLBR_LOCUS3010	0.019	0.000	0.000	0.000	0.000	0.018	0.544	0.190	0.174	17.578	18.826	11.551	0.045	0.000	0.022	0.178	1.236	0.000
PLBR_LOCUS3011	0.000	0.052	0.000	0.000	0.000	0.000	1.722	3.021	0.875	42.404	35.355	37.583	0.000	0.054	0.102	0.139	3.691	0.000
PLBR_LOCUS3012	0.000	0.046	0.088	0.000	0.000	0.110	37.248	64.589	8.389	138.508	91.816	150.391	0.322	0.381	0.764	19.343	44.174	0.782
PLBR_LOCUS3013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.131	6.738	13.673	9.238	0.000	0.000	0.057	0.000	0.110	0.000
PLBR_LOCUS3014	0.000	0.000	0.000	0.000	0.000	0.057	0.677	0.067	0.158	18.130	38.145	5.536	0.356	0.000	0.208	0.063	0.133	0.000
PLBR_LOCUS3015	0.032	0.000	0.035	0.105	0.000	0.059	2.934	5.127	2.055	119.539	139.457	117.103	0.037	0.077	0.072	1.211	4.957	0.111
PLBR_LOCUS3016	0.000	0.000	0.033	0.000	0.000	0.027	2.366	2.621	0.151	24.698	18.313	38.365	0.000	0.140	0.066	0.600	2.700	0.136
PLBR_LOCUS3017	0.000	0.000	0.000	0.000	0.066	0.000	3.337	4.733	1.116	77.679	97.027	100.473	0.143	0.371	0.070	1.015	4.838	0.072
PLBR_LOCUS3018	0.086	0.034	0.000	0.032	0.000	0.000	1.997	2.941	0.656	70.464	90.419	59.166	0.017	0.070	0.049	0.492	2.164	0.051
PLBR_LOCUS3019	0.000	0.268	0.000	0.000	0.000	0.000	1.758	2.372	0.449	66.988	84.194	71.685	0.045	0.046	0.044	0.358	2.400	0.180
PLBR_LOCUS3020	0.000	0.000	0.000	0.000	0.000	0.017	1.879	3.723	0.536	49.290	51.195	49.231	0.022	0.114	0.021	0.834	3.597	0.329
PLBR_LOCUS3021	0.038	0.044	0.000	0.379	0.000	0.035	0.471	1.007	0.494	66.716	737.373	61.301	0.000	0.368	0.043	0.118	1.251	0.089
PLBR_LOCUS3022	0.000	0.000	0.000	0.000	0.000	0.089	8.029	11.579	2.853	275.639	308.747	259.344	0.000	0.231	0.109	1.975	22.493	0.558
PLBR_LOCUS3023	0.000	0.000	0.000	0.024	0.000	0.000	1.214	2.261	0.510	31.041	41.549	33.995	0.025	0.079	0.000	0.248	1.864	0.000
PLBR_LOCUS3024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.136	0.165	0.398	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS3025	0.000	0.000	0.053	0.000	0.051	0.000	2.900	4.602	0.366	32.013	18.985	38.316	0.000	0.057	0.054	0.582	3.237	0.110
PLBR_LOCUS3026	0.000	0.000	0.034	0.000	0.000	0.000	0.564	1.275	0.119	3.717	3.303	4.152	0.071	0.000	0.035	0.315	0.067	0.036
PLBR_LOCUS3027	0.000	0.205	0.198	0.000	0.000	0.000	32.902	1.263	0.572	0.000	0.000	0.302	12.454	1.173	33.568	8.292	0.193	0.309
PLBR_LOCUS3028	0.000	0.000	0.000	0.000	0.000	0.000	1.234	0.079	0.031	2.699	2.579	0.306	0.222	0.000	0.624	0.172	0.000	0.000
PLBR_LOCUS3029	0.059	0.017	0.033	0.049	0.000	0.028	7.314	12.976	2.607	149.306	196.440	132.850	0.052	0.216	0.102	2.628	8.695	0.295
PLBR_LOCUS3030	0.000	0.000	0.000	0.000	0.000	0.000	0.950	0.688	0.000	21.256	20.006	22.463	0.000	0.116	0.219	0.050	0.316	0.000
PLBR_LOCUS3031	0.012	0.028	0.000	0.000	0.026	0.000	2.746	4.107	0.631	61.624	69.188	54.633	0.057	0.103	0.055	0.778	2.486	0.043
PLBR_LOCUS3032	0.000	0.000	0.000	0.000	0.000	0.000	4.004	0.038	0.000	0.560	0.136	0.239	1.261	0.000	3.972	0.936	0.153	0.081
PLBR_LOCUS3033	0.000	0.041	0.119	0.039	0.000	0.000	2.842	3.235	0.873	89.374	137.799	82.408	1.528	0.043	1.815	1.097	3.719	0.124
PLBR_LOCUS3034	0.000	0.000	0.000	0.000	0.049	0.000	3.519	6.873	0.763	21.056	13.206	19.577	0.000	0.055	0.052	1.542	3.019	0.053
PLBR_LOCUS3035	0.063	0.073	0.000	0.000	0.068	0.000	1.091	0.556	0.328	90.296	153.079	46.894	0.000	0.076	0.144	0.196	1.657	0.147
PLBR_LOCUS3036	0.000	0.000	0.000	0.000	0.000	0.000	0.704	0.000	0.000	4.993	4.860	1.999	0.000	0.000	0.118	0.107	0.340	0.000
PLBR_LOCUS3037	0.000	0.000	0.000	0.000	0.000	0.000	0.537	0.777	0.070	48.471	51.494	43.380	0.000	0.000	0.124	0.056	1.783	0.000
PLBR_LOCUS3038	0.000	0.000	0.000	0.000	0.000	0.000	2.504	3.814	0.658	86.338	108.480	93.110	0.000	0.510	0.000	0.436	5.454	0.000
PLBR_LOCUS3039	0.107	0.000	0.240	0.119	0.000	0.050	4.103	9.144	1.529	143.804	136.032	145.980	0.125	0.518	0.244	2.546	15.302	0.313
PLBR_LOCUS3040	0.000	0.000	0.000	0.000	0.000	0.000	1.256	1.306	0.308	23.036	20.623	22.429	0.040	0.000	0.000	0.140	1.410	0.040
PLBR_LOCUS3041	0.000	0.000	0.000	0.000	0.000	0.000	0.443	1.220	0.085	23.468	42.733	29.072	0.000	0.000	0.000	0.135	1.676	0.000
PLBR_LOCUS3042	0.000	0.000	0.000	0.000	0.000	0.000	0.486	0.248	0.073	5.956	7.357	7.998	0.000	0.000	0.128	0.000	0.431	0.000
PLBR_LOCUS3043	0.000	0.000	0.000	0.000	0.000	0.000	1.671	1.251	0.632	30.177	30.337	21.570	0.189	0.000	1.295	0.391	1.777	0.126
PLBR_LOCUS3044	0.081	0.000	0.000	0.000	0.000	0.025	4.502	4.013	0.565	41.218	38.381	42.195	1.047	0.099	1.735	1.180	3.631	0.063
PLBR_LOCUS3045	0.050	0.118	0.057	0.279	0.272	0.047	108.145	187.369	25.568	426.250	275.514	425.422	0.177	0.550	0.058	30.479	80.887	1.946
PLBR_LOCUS3046	0.000	0.000	0.000	0.000	0.000	0.000	0.334	0.099	0.117	8.676	9.764	4.208	0.079	0.000	0.103	0.093	0.074	0.000
PLBR_LOCUS3047	0.000	0.000	0.000	0.000	0.000	0.000	0.693	0.679	0.170	11.485	12.451	10.736	0.000	0.045	0.043	0.058	1.105	0.000
PLBR_LOCUS3048	0.000	0.000	0.000	0.000	0.000	0.000	0.684	1.627	0.240	32.614	30.061	25.064	0.072	0.223	0.070	0.127	1.415	0.000
PLBR_LOCUS3049	0.000	0.000	0.029	0.000	0.000	0.000	0.907	1.790	0.408	17.620	21.787	18.920	0.000	0.095	0.000	0.135	1.348	0.000
PLBR_LOCUS3050	0.000	0.000	0.000	0.000	0.000	0.000	20.288	35.610	2.855	98.139	64.514	106.491	0.000	0.124	0.000	5.075	14.895	0.239
PLBR_LOCUS3051	0.000	0.000	0.000	0.000	0.000	0.000	0.318	0.000	0.000	0.413	0.126	1.214	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS3052	0.000	0.000	0.000	0.026	0.025	0.000	2.050	2.497	0.607	52.886	50.997	52.633	0.027	0.085	0.000	0.628	2.737	0.109
PLBR_LOCUS3053	0.615	0.205	0.296	0.585	0.285	0.327	25.603	43.804	10.759	1191.636	1642.870	1324.189	1.132	2.132	2.613	7.472	50.965	1.647
PLBR_LOCUS3054	0.019	0.000	0.000	0.000	0.021	0.018	1.349	2.364	0.274	35.527	41.440	34.366	0.000	0.116	0.000	0.277	2.223	0.022
PLBR_LOCUS3055	0.000	0.000	0.000	0.000	0.000	0.000	0.583	1.370	0.056	2.618	3.018	3.053	0.000	0.000	0.000	0.000	0.892	0.000
PLBR_LOCUS3056	0.000	0.000	0.000	0.000	0.000	0.000	0.377	1.288	0.066	0.762	0.497	0.567	0.000	0.000	0.000	0.000	0.612	0.000
PLBR_LOCUS3057	0.000	0.000	0.000	0.021	0.000	0.000	2.564	4.358	0.856	54.395	50.772	46.041	0.181	0.070	0.022	0.601	2.760	0.023
PLBR_LOCUS3058	0.000	0.000	0.000	0.000	0.000	0.000	0.688	0.920	0.120	19.570	30.276	25.300	0.000	0.112	0.106	0.096	0.914	0.000
PLBR_LOCUS3059	0.000	0.018	0.000	0.012	0.011	0.000	0.773	0.959	0.230	22.812	31.575	26.037	0.085	0.013	0.143	0.172	0.941	0.030
PLBR_LOCUS3060	0.182	0.000	0.000	0.000	0.000	0.000	0.789	0.100	0.474	157.296	250.977	134.809	0.106	0.110	0.208	0.188	1.298	0.106
PLBR_LOCUS3061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.596	0.000	3.765	4.625	3.827	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS3062	0.018	0.000	0.010	0.005	0.005	0.004	1.879	2.573	0.508	34.243	30.481	33.254	0.005	0.033	0.021	0.614	1.977	0.048
PLBR_LOCUS3063	0.000	0.015	0.000	0.000	0.000	0.000	1.506	2.601	0.354	9.407	9.476	13.733	0.022	0.031	0.022	0.407	0.757	0.022
PLBR_LOCUS3064	0.031	0.000	0.035	0.000	0.000	0.000	2.110	3.557	0.484	62.795	80.232	61.073	0.000	0.038	0.035	0.385	2.549	0.217
PLBR_LOCUS3065	0.042	0.000	0.000	0.094	0.046	0.000	5.454	9.538	2.479	124.015	167.027	156.422	0.149	0.205	0.000	1.360	7.899	0.099
PLBR_LOCUS3066	0.000	0.000	0.000	0.000	0.095	0.000	2.191	3.516	1.151	80.213	140.929	91.532	0.000	0.214	0.101	0.458	4.659	0.207
PLBR_LOCUS3067	0.000	0.000	0.000	0.000	0.000	0.027	2.203	3.059	0.569	58.865	115.936	68.095	0.034	0.071	0.067	0.634	2.944	0.034
PLBR_LOCUS3068	0.000	0.000	0.000	0.000	0.000	0.000	0.589	1.050	0.155	30.221	39.909	14.705	0.000	0.000	0.000	0.369	1.043	0.556
PLBR_LOCUS3069	0.436	0.636	0.000	0.484	0.118	0.304	62.535	104.395	21.852	2182.424	2324.295	1782.223	0.255	4.229	0.249	32.758	173.515	2.425
PLBR_LOCUS3070	0.024	0.000	0.027	0.000	0.000	0.000	1.699	3.030	0.462	41.689	47.863	52.581	0.055	0.086	0.000	1.176	3.972	0.194
PLBR_LOCUS3071	0.000	0.000	0.000	0.000	0.025	0.042	1.667	3.450	0.979	38.213	36.276	39.504	0.027	0.028	0.078	0.189	2.103	0.000
PLBR_LOCUS3072	0.034	0.040	0.000	0.000	0.000	0.032	1.182	0.979	0.266	25.063	32.084	19.164	0.160	0.248	0.000	0.106	1.983	0.040
PLBR_LOCUS3073	0.016	0.000	0.000	0.000	0.000	0.000	0.285	0.054	0.021	2.167	2.057	9.621	0.038	0.000	0.113	0.034	0.018	0.019
PLBR_LOCUS3074	0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.105	6.234	10.798	32.777	0.031	0.065	0.154	0.028	0.000	0.000
PLBR_LOCUS3075	0.000	0.000	0.000	0.000	0.000	0.000	5.525	9.472	1.339	191.490	211.492	206.678	0.080	0.416	0.392	1.066	15.438	0.964
PLBR_LOCUS3076	0.000	0.000	0.000	0.000	0.000	0.000	6.909	9.752	1.512	91.795	81.826	142.935	0.136	0.141	0.398	0.963	12.498	0.408
PLBR_LOCUS3077	0.000	0.073	0.070	0.138	0.000	0.029	10.823	0.412	0.000	1.235	10.932	11.412	6.477	0.339	12.009	3.769	0.102	0.109
