Geneid	KQGRcry	MGGQcry	PL4mw	PL4snow	QTsnow1	QTsnow2	Qycry	QYice	QYmw	TGLcry	TGLmw
g627	22.871354	0	7.28321	35.885551	0	0	3.214583	564.768506	1632.51363	205.439732	89.160729
g628	0	0	0	824.420312	0	3.221859	0	1209.11982	4.961795	0	0
g629	810.414646	1081.72588	923.560244	7483.84606	92.641331	124.71002	318.224793	3030.1067	2803.52108	1115.72829	17618.781
g630	120.379549	0	0	48.773455	0	5.875214	30.840459	721.515095	1619.60464	157.404093	117.408005
g631	0	14.457026	11.631954	1160.57836	102.610092	779.010112	0	2952.38025	9.037344	0	375.888447
g632	21.89439	0	0	194.338005	0	3.0149	31.651919	747.665372	92.861391	3.511862	8117.42215
g633	183.732427	81.273274	6.883318	295.062404	0	0	30.380829	1579.26729	64.175203	64.719953	627.652348
g634	0	0	0	108.26503	0	2.052833	1.795971	1004.61054	25.291571	0	0
g635	17.174231	2.548977	4.101753	64.671999	0	0	0	653.073532	1007.03548	142.213854	23.629872
g636	673.448183	947.198817	187.827591	670.158397	85.141681	67.528597	580.308854	1244.37506	1405.6342	310.832618	60.632657
g637	0	14.443165	6.640458	1109.16078	441.058801	164.153449	0	4053.05941	18.057359	0	363.423892
g638	35.582749	612.61273	11.331058	340.56269	0	0	20.004708	1202.48836	1393.16429	652.55466	11.219539
g639	0	1.847277	0	427.676445	18.509958	2.999312	10.496088	801.624271	9.238125	0	324.837571
g640	0	0	0	404.748955	0	0	0	427.156903	0	0	0
g641	659.626946	115.277313	240.060826	3217.8037	11.32445	203.683683	190.23809	6708.12045	1829.10055	286.953826	6664.3889
g642	0	0	0	745.366865	0	5.695402	0	1223.63168	35.08461	0	0
g643	0	0	10.700044	152.890448	0	0	70.840008	168.225657	2032.60318	0	434.865743
g644	1174.40162	4869.85926	0	660.659762	7.099757	41.415428	634.082942	1534.02971	5389.53284	2036.22058	12.31592
g645	0	0	13.975796	89.519302	0	0	40.095135	87.518339	1677.61849	0	1.258023
g646	0.539121	0	18.026304	5.075343	0	0	0	35.683434	2029.57947	0.605326	0.741772
g647	0	0	11.345907	0	0	0	0	61.979453	2613.67805	0	0
