Geneid	B03-12-1	B03-12-2	B03-12-3	B03-16-2	B03-16-3	B03-16
Glyma.03G088800	0.858	1.077	0.825	0.187	0.305	0.448
Glyma.03G089800	0.114	0.076	0.168	1.414	1.032	1.675
Glyma.03G092500	14.566	15.385	16.333	4.442	5.841	6.037
Glyma.03G094200	0.181	0.154	0.322	1.191	0.968	1.197
Glyma.03G097300	32.081	30.374	29.410	8.136	7.914	9.485
Glyma.03G098600	27.078	27.961	25.989	11.511	12.101	13.982
Glyma.03G098900	29.879	31.109	29.053	9.334	12.917	12.543
Glyma.03G101000	2.485	2.561	2.784	0.695	0.710	0.797
Glyma.03G101200	0.042	0.083	0.085	1.412	1.750	1.548
Glyma.03G101700	0.178	0.183	0.164	0.895	0.944	1.064
Glyma.03G103500	1.001	0.795	1.200	4.970	5.647	6.006
Glyma.03G104000	0.026	0.000	0.028	1.952	2.428	2.344
Glyma.03G104800	0.000	0.000	0.000	5.807	5.736	5.388
Glyma.03G105200	2.137	2.459	2.118	0.212	0.353	0.291
Glyma.03G105700	1.939	2.551	2.194	0.746	1.081	1.052
Glyma.03G107900	9.914	9.168	8.877	1.694	2.383	1.276
Glyma.03G108000	3.138	2.954	3.036	0.528	0.584	0.686
Glyma.03G109300	0.057	0.141	0.070	1.282	1.379	1.555
Glyma.03G113700	0.000	0.030	0.025	1.527	1.241	1.491
Glyma.03G114300	0.000	0.000	0.000	1.082	0.545	0.508
Glyma.03G115066	2.658	0.541	0.903	0.303	0.264	0.000
Glyma.03G115132	5.080	6.011	6.259	1.930	1.704	1.509
Glyma.03G117500	1.026	1.303	1.469	7.203	6.063	4.602
Glyma.03G118000	0.924	0.907	0.921	4.203	3.575	3.884
Glyma.03G119500	187.717	186.016	183.262	77.400	84.452	90.416
Glyma.03G120200	6.493	6.380	6.437	0.910	1.132	1.054
Glyma.03G121300	7.812	8.575	8.182	1.831	1.604	1.869
Glyma.03G121350	2.589	1.973	1.559	0.233	0.000	0.000
Glyma.03G122000	29.922	28.896	30.045	14.052	13.251	12.149
Glyma.03G122200	8.637	8.383	8.521	0.916	0.955	1.122
Glyma.03G122300	51.335	49.505	51.315	19.916	22.011	21.443
Glyma.03G123600	0.118	0.087	0.189	3.772	3.176	3.193
Glyma.03G124300	0.035	0.064	0.069	1.673	1.472	2.393
Glyma.03G125000	5.186	7.071	6.140	2.504	2.418	2.793
Glyma.03G125200	0.037	0.082	0.014	1.145	1.027	1.244
Glyma.03G125400	1.825	2.052	2.388	0.798	0.887	1.080
Glyma.03G127200	2.346	2.453	2.145	0.599	0.405	0.510
Glyma.03G127800	4.634	3.464	4.574	1.457	1.477	1.611
Glyma.03G128300	74.557	75.257	77.249	32.928	32.455	32.781
Glyma.03G128900	24.715	27.225	25.783	2.586	3.072	3.520
Glyma.03G129500	0.526	1.090	0.909	3.157	3.186	2.773
Glyma.03G129600	0.157	0.081	0.098	7.051	6.436	6.422
Glyma.03G130200	3.137	2.099	2.683	0.716	1.579	1.254
Glyma.03G130300	48.932	52.920	50.607	1.238	1.588	1.534
Glyma.03G130900	0.661	0.568	0.579	4.108	3.491	3.998
Glyma.03G131300	0.129	0.000	0.572	2.114	2.338	2.355
Glyma.03G131600	4.516	4.252	3.881	0.495	1.016	1.194
Glyma.03G131700	0.594	0.847	0.706	33.410	32.657	30.092
Glyma.03G132900	12.217	11.728	12.046	0.216	0.167	0.220
Glyma.03G133300	1.078	0.573	1.026	0.000	0.055	0.000
Glyma.03G134100	0.048	0.042	0.000	1.184	0.947	0.919
Glyma.03G134300	0.422	0.526	0.603	1.807	1.346	2.787
Glyma.03G136500	1.200	1.276	1.159	4.151	3.621	4.481
Glyma.03G137000	74.896	77.872	75.985	22.226	23.342	24.812
Glyma.03G137300	0.229	0.342	0.396	1.483	1.410	1.737
Glyma.03G138200	4.304	4.079	4.394	1.826	1.881	1.937
Glyma.03G139500	0.018	0.024	0.040	0.856	0.791	1.666
Glyma.03G139900	4.412	3.860	3.798	1.443	1.511	2.115
Glyma.03G140400	0.444	1.028	1.470	4.942	6.442	7.569
Glyma.03G140700	0.012	0.008	0.000	1.368	1.496	1.757
Glyma.03G141200	2.803	2.396	2.679	8.595	8.903	9.276
Glyma.03G141600	0.692	0.667	0.829	7.524	6.028	5.196
Glyma.03G141800	0.043	0.057	0.000	4.791	5.867	4.366
Glyma.03G141900	3.490	3.519	4.311	13.136	19.667	17.881
Glyma.03G142500	2.197	2.106	2.100	7.641	7.340	7.706
Glyma.03G143700	3.026	2.731	2.708	0.851	0.932	1.147
Glyma.03G145500	4.782	5.246	5.057	1.556	1.537	1.197
Glyma.03G145900	1.493	1.382	1.588	7.874	7.173	8.650
Glyma.03G147200	0.205	0.158	0.094	2.156	2.248	1.994
Glyma.03G147700	9.138	7.829	8.564	1.104	1.097	0.859
Glyma.03G147900	1.656	1.764	1.535	0.367	0.418	0.462
Glyma.03G148100	0.735	0.577	0.571	38.517	46.675	46.792
Glyma.03G149200	7.742	7.463	7.716	2.276	2.044	1.713
Glyma.03G150600	3.107	3.607	3.853	13.687	14.243	14.109
Glyma.03G150700	74.543	77.237	75.034	10.372	9.761	13.226
Glyma.03G151650	0.000	0.000	0.000	0.339	1.179	1.385
Glyma.03G151900	1.137	1.241	1.090	5.284	4.484	3.760
Glyma.03G152200	62.712	60.676	64.433	28.592	22.411	17.982
Glyma.03G152400	2.924	2.804	2.705	1.163	0.968	0.886
Glyma.03G153902	1.814	1.782	1.426	6.426	5.176	6.373
Glyma.03G154000	0.139	0.026	0.066	2.884	2.738	3.594
Glyma.03G154200	0.130	0.153	0.095	0.941	1.357	1.027
Glyma.03G154600	0.449	0.378	0.280	2.825	3.066	2.984
Glyma.03G156100	0.677	0.800	0.881	4.881	3.773	2.931
Glyma.03G156700	26.866	27.765	25.836	1.318	1.355	1.230
Glyma.03G157300	6.526	7.615	7.256	0.656	0.617	0.446
Glyma.03G158100	7.541	6.285	6.887	25.383	22.737	24.927
Glyma.03G158400	1.004	1.585	1.236	5.532	5.280	5.502
Glyma.03G158700	1.644	1.100	1.121	7.374	7.694	5.961
Glyma.03G159400	0.729	1.035	0.863	3.324	3.555	3.414
Glyma.03G159800	0.137	0.136	0.076	1.372	1.059	1.141
Glyma.03G161300	0.252	0.273	0.285	1.600	1.376	1.773
Glyma.03G162900	29.334	30.144	30.961	9.777	12.058	11.326
Glyma.03G163100	2.169	3.082	2.512	1.161	0.894	0.916
Glyma.03G163200	1.816	1.945	1.600	0.364	0.421	1.052
Glyma.03G163600	37.544	36.972	37.315	13.914	16.063	18.772
Glyma.03G164300	6.145	6.145	6.216	26.139	25.925	23.091
Glyma.03G165100	1.454	1.275	1.184	0.607	0.715	0.372
Glyma.03G166000	0.006	0.039	0.019	1.844	1.936	2.114
Glyma.03G166500	0.210	0.193	0.143	1.176	0.981	1.544
Glyma.03G166900	0.291	0.179	0.278	1.812	2.049	2.085
Glyma.03G167200	32.546	33.639	32.406	15.115	13.882	14.115
Glyma.03G167600	0.017	0.011	0.000	2.031	2.086	2.313
Glyma.03G169200	0.351	0.344	0.380	2.295	2.187	2.353
Glyma.03G170300	26.705	26.882	25.865	7.469	7.651	8.850
Glyma.03G170900	0.000	0.000	0.068	48.097	45.969	27.145
Glyma.03G171400	9.080	8.944	8.167	39.630	31.072	20.948
Glyma.03G172900	15.355	15.694	14.610	2.522	2.673	2.652
Glyma.03G174000	1.101	1.733	1.215	0.535	0.685	0.431
Glyma.03G174300	16.421	16.468	16.588	1.716	1.620	1.569
Glyma.03G174500	6.006	6.085	6.130	2.215	2.120	2.422
Glyma.03G175000	1.180	1.200	0.932	7.078	7.400	6.850
Glyma.03G175100	1.534	1.112	1.170	0.352	0.353	0.609
Glyma.03G176100	2.584	2.094	2.464	1.252	0.930	1.225
Glyma.03G176300	1.070	0.764	0.932	0.251	0.200	0.299
Glyma.03G177500	0.245	0.324	0.172	1.700	1.721	1.651
Glyma.03G177600	0.057	0.104	0.079	0.902	0.958	1.191
Glyma.03G177900	0.068	0.147	0.208	1.079	0.993	1.089
Glyma.03G178100	0.157	0.208	0.106	1.128	1.127	1.893
Glyma.03G178700	0.067	0.036	0.030	1.802	1.844	2.105
Glyma.03G179100	5.635	5.928	5.336	2.465	2.263	3.026
Glyma.03G179400	4.827	5.790	5.496	2.463	1.849	3.201
Glyma.03G179500	1.508	1.819	1.812	6.885	6.131	6.191
Glyma.03G180900	21.650	21.164	21.417	76.385	82.937	63.542
Glyma.03G181300	0.246	0.245	0.317	1.280	1.589	1.058
Glyma.03G181500	1.371	1.815	1.682	0.678	0.196	0.462
Glyma.03G181600	1.824	2.177	2.129	0.617	0.683	0.544
Glyma.03G181800	10.786	11.627	11.118	1.801	1.838	2.130
Glyma.03G183300	0.347	0.161	0.307	1.340	1.142	1.105
Glyma.03G183900	0.883	0.760	1.057	0.350	0.494	0.312
Glyma.03G184000	0.017	0.023	0.000	1.574	1.602	1.268
Glyma.03G185100	2.555	2.533	2.455	0.445	0.467	0.423
Glyma.03G186900	12.872	14.189	13.837	0.897	0.670	0.755
Glyma.03G187000	36.013	37.449	36.925	1.832	2.150	2.102
Glyma.03G187800	0.611	0.511	0.674	2.815	2.778	2.728
Glyma.03G189800	0.028	0.000	0.010	4.161	3.870	3.050
Glyma.03G191100	1.445	1.648	1.106	6.860	5.684	7.242
Glyma.03G191700	0.088	0.128	0.126	1.045	0.942	1.147
Glyma.03G192300	45.366	46.957	46.922	22.182	21.567	22.281
Glyma.03G193000	0.157	0.200	0.225	1.193	1.382	1.606
Glyma.03G193600	0.385	0.189	0.362	2.497	2.574	2.506
Glyma.03G195300	6.555	6.516	5.873	2.413	2.273	2.651
Glyma.03G195600	0.728	0.766	0.621	5.967	6.572	7.520
Glyma.03G196300	0.883	1.038	0.722	0.243	0.169	0.248
Glyma.03G196400	0.054	0.071	0.000	1.991	1.522	2.093
Glyma.03G197300	0.026	0.052	0.065	2.782	2.712	2.998
Glyma.03G197500	0.239	0.135	0.113	3.642	3.648	3.925
Glyma.03G199500	0.519	0.695	0.687	2.896	2.812	2.901
Glyma.03G199800	0.463	0.799	0.496	2.147	2.626	2.149
Glyma.03G200500	3.937	3.586	3.622	1.665	1.201	0.770
Glyma.03G200900	0.675	0.701	0.877	10.064	9.736	8.389
Glyma.03G201600	1.407	1.761	2.043	0.726	0.927	0.464
Glyma.03G201700	2.938	3.005	3.367	0.330	0.488	0.371
Glyma.03G202100	19.765	20.203	20.321	5.690	5.475	5.693
Glyma.03G203000	1.540	1.809	1.553	0.493	0.651	0.503
Glyma.03G204500	3.630	3.646	2.947	0.377	0.547	0.535
Glyma.03G204800	4.261	4.457	4.347	1.354	1.097	1.262
Glyma.03G205000	0.189	0.137	0.104	2.495	2.546	3.177
Glyma.03G205400	3.580	3.231	3.513	1.691	1.633	1.781
Glyma.03G206000	0.060	0.060	0.050	1.050	0.816	0.981
Glyma.03G207100	0.376	0.389	0.433	2.230	2.170	1.559
Glyma.03G207800	0.141	0.112	0.062	1.254	1.017	1.024
Glyma.03G209000	0.062	0.082	0.017	1.085	1.444	1.249
Glyma.03G211600	0.031	0.042	0.104	0.281	1.178	0.477
Glyma.03G212400	1.195	1.055	1.046	0.304	0.431	0.392
Glyma.03G212500	15.434	14.883	17.605	7.587	6.329	8.366
Glyma.03G214300	22.550	21.791	21.705	10.443	11.250	6.329
Glyma.03G214700	2.485	2.419	2.276	1.150	1.018	1.219
Glyma.03G216300	1.151	1.307	0.877	0.628	0.383	0.518
Glyma.03G216900	5.369	5.214	4.478	0.000	0.000	0.000
Glyma.03G217000	0.208	0.218	0.344	0.907	1.049	1.297
Glyma.03G217300	2.368	2.585	1.876	0.725	0.676	0.767
Glyma.03G217500	0.058	0.015	0.038	3.512	2.776	2.501
Glyma.03G218600	0.650	0.757	0.696	5.255	5.767	5.483
Glyma.03G218700	0.073	0.029	0.065	2.291	2.304	1.626
Glyma.03G219200	0.531	0.614	0.628	10.070	10.974	9.046
Glyma.03G219700	0.659	0.660	0.767	2.566	2.482	2.876
Glyma.03G220800	4.219	3.780	4.516	1.832	1.545	2.625
Glyma.03G222000	5.255	5.222	5.175	2.485	2.235	1.986
Glyma.03G222300	3.512	3.534	3.904	0.153	0.102	0.120
Glyma.03G222400	0.036	0.334	0.199	1.551	1.626	1.037
Glyma.03G222600	3.654	3.255	3.273	0.307	0.326	0.314
Glyma.03G224600	0.475	0.394	0.376	4.276	3.743	4.043
