Geneid	B03-12-1	B03-12-2	B03-12-3	B03-16-2	B03-16-3	B03-16
Glyma.01G141900	0.817	1.122	0.902	0.270	0.156	0.183
Glyma.01G142400	29.650	29.978	29.682	245.257	280.737	262.838
Glyma.01G148700	0.418	0.799	0.410	8.707	7.486	6.614
Glyma.01G148800	3.196	2.463	2.160	18.732	19.293	22.559
Glyma.01G150300	2.633	2.799	2.897	1.486	1.047	1.020
Glyma.01G151300	8.021	7.268	7.680	0.684	0.687	0.606
Glyma.01G152100	0.564	0.539	0.323	3.025	3.384	4.467
Glyma.01G153000	0.188	0.204	0.264	1.853	2.184	1.710
Glyma.01G153300	0.181	0.315	0.210	2.824	2.540	2.739
Glyma.01G153600	0.506	0.367	0.379	2.896	2.991	3.291
Glyma.01G156200	10.799	10.662	11.447	3.094	2.637	3.750
Glyma.01G156700	0.784	0.870	0.891	3.816	3.539	2.638
Glyma.01G157100	3.764	3.788	3.480	1.363	1.046	1.438
Glyma.01G157300	0.932	1.106	0.908	5.054	5.037	5.046
Glyma.01G157900	20.200	20.272	19.398	7.026	6.898	9.240
Glyma.01G159100	0.278	0.338	0.273	1.033	1.078	1.243
Glyma.01G159600	0.407	0.289	0.391	1.612	1.391	2.434
Glyma.01G159700	0.024	0.127	0.066	2.444	2.543	2.077
Glyma.01G160100	8.186	7.674	7.502	3.615	3.261	2.882
Glyma.01G160300	0.081	0.064	0.027	2.727	2.850	2.894
Glyma.01G161200	1.256	1.063	1.046	3.759	4.329	3.744
Glyma.01G161500	54.685	59.499	56.158	20.891	25.259	25.577
Glyma.01G161700	2.589	2.502	2.580	9.699	9.387	9.541
Glyma.01G162500	2.351	3.212	2.121	1.051	0.978	1.073
Glyma.01G163800	1.157	1.118	1.151	5.619	5.407	4.362
Glyma.01G164000	0.700	0.772	0.878	7.288	7.564	8.645
Glyma.01G166000	17.018	16.954	18.932	6.055	6.468	7.639
Glyma.01G167500	12.590	12.041	13.021	50.451	54.818	38.093
Glyma.01G167800	17.479	23.136	17.749	9.610	9.464	5.396
Glyma.01G168400	6.007	6.961	5.614	25.753	23.665	30.335
Glyma.01G168500	33.359	32.114	35.003	1.628	1.475	1.520
Glyma.01G170000	0.000	0.015	0.000	1.074	0.828	0.566
Glyma.01G170200	2.047	2.047	1.972	17.209	17.085	17.837
Glyma.01G171900	1.320	1.500	1.787	7.355	8.576	8.906
Glyma.01G172200	0.515	0.531	0.504	2.311	2.476	2.939
Glyma.01G172600	1.434	1.430	1.388	8.649	8.726	12.158
Glyma.01G173050	23.033	24.772	22.192	5.968	7.183	6.957
Glyma.01G173800	5.807	6.405	5.667	2.054	2.303	3.086
Glyma.01G175200	2.838	3.191	2.807	14.102	14.629	16.888
Glyma.01G175300	0.613	0.503	0.610	2.536	2.104	3.217
Glyma.01G175751	10.918	10.561	7.881	1.403	3.385	3.341
Glyma.01G176300	0.832	1.161	0.720	3.039	3.221	3.273
Glyma.01G179251	0.099	0.065	0.254	1.002	0.870	0.599
Glyma.01G179300	0.334	0.350	0.292	2.865	2.894	3.037
Glyma.01G179400	13.773	13.919	13.959	2.526	2.778	2.418
Glyma.01G180366	0.057	0.000	0.031	21.079	19.308	11.731
Glyma.01G180500	0.123	0.041	0.000	2.285	3.058	2.053
Glyma.01G181900	1.365	1.417	1.883	0.349	0.395	0.428
Glyma.01G183100	0.725	0.621	0.875	12.444	13.520	13.448
Glyma.01G185200	0.342	0.218	0.280	1.090	1.666	1.592
Glyma.01G186800	0.223	0.177	0.270	19.331	25.297	20.612
Glyma.01G187200	1.241	1.124	1.421	6.994	7.522	6.165
Glyma.01G187400	0.711	0.790	0.770	4.967	4.192	4.974
Glyma.01G187600	0.071	0.113	0.094	0.801	1.282	1.033
Glyma.01G188000	0.923	0.774	0.747	4.236	4.356	4.546
Glyma.01G188200	0.494	0.523	0.457	1.842	1.791	2.095
Glyma.01G188600	15.589	15.579	16.738	5.294	6.385	6.143
Glyma.01G189100	2.934	2.650	2.842	1.438	1.309	0.951
Glyma.01G189800	4.982	7.334	5.447	1.804	1.630	1.510
Glyma.01G190000	0.035	0.093	0.019	4.289	5.353	4.617
Glyma.01G190700	10.792	11.238	11.316	2.790	3.476	2.997
Glyma.01G190900	3.230	2.895	3.182	24.612	25.896	18.962
Glyma.01G191500	17.703	16.822	17.177	1.129	1.580	1.637
Glyma.01G191600	56.269	54.542	55.905	2.305	3.214	3.863
Glyma.01G192300	9.939	9.809	8.861	2.232	2.406	2.575
Glyma.01G192500	0.164	0.218	0.262	3.226	4.170	3.516
Glyma.01G192900	0.379	0.342	0.490	7.761	7.626	8.834
Glyma.01G193500	0.023	0.008	0.058	1.121	1.155	1.383
Glyma.01G193900	0.168	0.111	0.077	0.893	1.282	0.912
Glyma.01G195000	0.293	0.291	0.251	4.649	4.008	4.549
Glyma.01G195100	0.131	0.123	0.103	1.079	0.673	1.102
Glyma.01G195600	2.155	2.117	2.354	0.488	0.571	0.223
Glyma.01G196600	8.581	8.977	8.672	3.904	4.374	3.724
Glyma.01G196800	1.034	1.198	1.142	7.017	8.452	7.861
Glyma.01G197500	0.186	0.208	0.300	6.057	6.149	4.513
Glyma.01G198600	0.412	0.363	0.265	1.172	1.350	1.405
Glyma.01G199400	4.740	4.814	4.941	1.088	0.865	1.084
Glyma.01G200200	12.966	13.925	12.267	5.492	5.347	6.210
Glyma.01G201500	1.227	2.706	1.655	7.486	9.845	6.610
Glyma.01G202301	0.225	0.000	0.000	1.133	0.290	0.817
Glyma.01G203200	7.385	6.311	6.276	2.227	2.624	3.588
Glyma.01G203500	1.300	1.395	1.339	0.493	0.410	0.481
Glyma.01G205100	2.395	2.686	2.447	0.819	0.806	1.255
Glyma.01G205500	0.022	0.000	0.049	1.086	1.116	1.176
Glyma.01G205700	28.975	29.456	29.568	11.992	12.367	11.781
Glyma.01G205900	19.166	18.940	19.072	7.792	6.478	6.062
Glyma.01G206100	0.000	0.019	0.032	0.818	0.692	1.318
Glyma.01G206500	0.488	0.591	0.557	4.383	4.449	4.550
Glyma.01G207300	7.043	6.780	6.726	2.172	2.808	2.662
Glyma.01G207500	23.000	23.650	23.705	10.808	10.225	11.305
Glyma.01G208000	6.460	6.065	6.051	0.285	0.195	0.061
Glyma.01G209500	0.000	0.000	0.000	15.939	16.638	12.449
Glyma.01G209700	8.027	7.575	7.033	28.062	28.393	25.549
Glyma.01G210600	0.070	0.033	0.070	1.493	1.314	1.822
Glyma.01G211200	22.290	22.119	22.549	8.329	7.892	8.350
Glyma.01G212200	2.293	2.090	1.860	0.804	0.614	0.981
Glyma.01G212300	1.013	0.872	1.035	0.169	0.049	0.096
Glyma.01G212400	0.174	0.346	0.217	0.906	0.797	1.024
Glyma.01G212800	0.982	0.989	0.966	4.562	4.019	3.784
Glyma.01G213600	0.403	0.463	0.439	2.342	2.234	2.651
Glyma.01G213700	12.972	13.390	13.776	1.485	1.583	1.219
Glyma.01G214300	105.440	106.499	103.615	27.275	29.298	34.217
