seqID	length
seq720	5652
seq721	5595
seq722	5492
seq723	5605
seq724	5568
seq725	5580
seq726	5575
seq727	5569
seq728	5643
seq729	5635
seq730	5489
seq731	5542
seq732	5521
seq733	5563
seq734	5569
seq735	5564
seq736	5566
seq737	5531
seq738	5566
seq739	5565
seq740	5615
seq741	5540
seq742	5568
seq743	5558
seq744	5537
seq745	5556
seq746	5575
seq747	5557
seq748	5516
seq749	5553
seq750	5557
seq751	5551
seq752	5556
seq753	5505
seq754	5709
seq755	5485
seq756	5549
seq757	5526
seq758	5543
seq759	5541
seq760	5544
seq761	5559
seq762	5550
seq763	5578
seq764	5556
seq765	5545
seq766	5530
seq767	5531
seq768	5555
seq769	5531
seq770	5528
seq771	5576
seq772	5499
seq773	5678
seq774	5519
seq775	5515
seq776	5518
seq777	5508
seq778	5507
seq779	5494
seq780	5480
seq781	5521
seq782	5460
seq783	5498
seq784	5501
seq785	5327
seq786	5477
seq787	5532
seq788	5499
seq789	5492
seq790	5505
seq791	5500
seq792	5506
seq793	5326
seq794	5529
seq795	5526
seq796	5574
seq797	5653
seq798	5490
seq799	5386
seq800	5816
seq801	5487
seq802	5508
seq803	5416
seq804	5476
seq805	5487
seq806	5487
seq807	5502
seq808	5473
seq809	5472
seq810	5453
seq811	5431
seq812	5462
seq813	5467
seq814	5468
seq815	5472
seq816	5450
seq817	5541
seq818	5451
seq819	5449
seq820	5459
seq821	5467
seq822	5467
seq823	5449
seq824	5464
seq825	5456
seq826	5437
seq827	5422
seq828	5429
seq829	5447
seq830	5445
seq831	5429
seq832	5360
seq833	5433
seq834	5503
seq835	5410
seq836	5455
seq837	5416
seq838	5416
seq839	5416
seq840	5462
seq841	5423
seq842	5464
seq843	5430
seq844	5415
seq845	5441
seq846	5428
seq847	5381
seq848	5475
seq849	5430
seq850	5422
seq851	5447
seq852	5441
seq853	5462
seq854	5199
seq855	5428
seq856	5428
seq857	5456
seq858	5420
seq859	5431
seq860	5422
seq861	5401
seq862	5408
seq863	5439
seq864	5281
seq865	5369
seq866	5411
seq867	5438
seq868	5425
seq869	5408
seq870	5425
seq871	5395
seq872	5391
seq873	5402
seq874	5444
seq875	5456
seq876	5395
seq877	5453
seq878	5351
seq879	5396
seq880	5361
seq881	5383
seq882	5466
seq883	5421
seq884	5377
seq885	5389
seq886	5387
seq887	5417
seq888	5514
seq889	5398
seq890	5350
seq891	5401
seq892	5398
seq893	5385
seq894	5370
seq895	5326
seq896	5378
seq897	5382
seq898	5376
seq899	5373
seq900	5342
seq901	5387
seq902	5373
seq903	5423
seq904	5372
seq905	5382
seq906	5368
seq907	5388
seq908	5390
seq909	5360
seq910	5365
seq911	5366
seq912	5365
seq913	5374
seq914	5365
seq915	5358
seq916	5326
seq917	5365
seq918	5336
seq919	5283
seq920	5313
seq921	5361
seq922	5358
seq923	5386
seq924	5342
seq925	5389
seq926	5347
seq927	5395
seq928	5341
seq929	5318
seq930	5348
seq931	5233
seq932	5402
seq933	5290
seq934	5339
seq935	5228
seq936	5330
seq937	5366
seq938	5305
seq939	5361
seq940	5305
seq941	5361
seq942	5322
seq943	5338
seq944	5439
seq945	5272
seq946	5312
seq947	5335
seq948	5323
seq949	5409
seq950	5351
seq951	5297
seq952	5330
seq953	5329
seq954	5314
seq955	5280
seq956	5357
seq957	5295
seq958	5302
seq959	5309
seq960	5324
seq961	5465
seq962	5366
seq963	5328
seq964	5304
seq965	5305
seq966	5310
seq967	5319
seq968	5285
seq969	5247
seq970	5300
seq971	5307
seq972	5302
seq973	5299
seq974	5302
seq975	5296
seq976	5302
seq977	5301
seq978	5293
seq979	5290
seq980	5364
seq981	5287
seq982	5369
seq983	5235
seq984	5291
seq985	5313
seq986	5307
seq987	5294
seq988	5282
seq989	5284
seq990	5422
seq991	5293
seq992	5298
seq993	5242
seq994	5243
seq995	5275
seq996	5230
seq997	5240
seq998	5299
seq999	5279
seq1000	5273
seq1001	5270
seq1002	5249
seq1003	5270
seq1004	5285
seq1005	5271
seq1006	5263
seq1007	5266
seq1008	5268
seq1009	5277
seq1010	5251
seq1011	5257
seq1012	5260
seq1013	5264
seq1014	5296
seq1015	5260
seq1016	5215
seq1017	5268
seq1018	5231
seq1019	5268
seq1020	5342
seq1021	5246
seq1022	5339
seq1023	5249
seq1024	5253
seq1025	5235
seq1026	5255
seq1027	5249
seq1028	5172
seq1029	5245
seq1030	5268
seq1031	5262
seq1032	5265
seq1033	5246
seq1034	5240
seq1035	5329
seq1036	5249
seq1037	5247
seq1038	5188
seq1039	5229
seq1040	5169
seq1041	5255
seq1042	5278
seq1043	5251
seq1044	5240
seq1045	5287
seq1046	5242
seq1047	5227
seq1048	5237
seq1049	5235
seq1050	5207
seq1051	5221
seq1052	5231
seq1053	5223
seq1054	5220
seq1055	5218
seq1056	5220
seq1057	5256
seq1058	5294
seq1059	5236
seq1060	5165
seq1061	5236
seq1062	5181
seq1063	5207
seq1064	5183
seq1065	5205
seq1066	5225
seq1067	5212
seq1068	5198
seq1069	5135
seq1070	5199
seq1071	5335
seq1072	5208
seq1073	5194
seq1074	5209
seq1075	5190
seq1076	5246
seq1077	5162
seq1078	5169
seq1079	5203
seq1080	5196
seq1081	5170
seq1082	5176
seq1083	5191
seq1084	5182
seq1085	5181
seq1086	5179
seq1087	5180
seq1088	5201
seq1089	5133
seq1090	5127
seq1091	5168
seq1092	5206
seq1093	5176
seq1094	5200
seq1095	5135
seq1096	5217
seq1097	5184
seq1098	5149
seq1099	5170
seq1100	5239
seq1101	5171
seq1102	5165
seq1103	5149
seq1104	5158
seq1105	5165
seq1106	5171
seq1107	5123
seq1108	5154
seq1109	5165
seq1110	5160
seq1111	5213
seq1112	5158
seq1113	5155
seq1114	5168
seq1115	5196
seq1116	5153
seq1117	5141
seq1118	5158
seq1119	5206
seq1120	5187
seq1121	5194
seq1122	5179
seq1123	5159
seq1124	5157
seq1125	5156
seq1126	5186
seq1127	5137
seq1128	5202
seq1129	5154
seq1130	5262
seq1131	5176
seq1132	5055
seq1133	5127
seq1134	5146
seq1135	5145
seq1136	4892
seq1137	5144
seq1138	5181
seq1139	5135
seq1140	5072
seq1141	5103
seq1142	5134
seq1143	5164
seq1144	5128
seq1145	5149
seq1146	5130
seq1147	5241
seq1148	5156
seq1149	5136
seq1150	5124
seq1151	5075
seq1152	5122
seq1153	5121
seq1154	5119
seq1155	5002
seq1156	5126
seq1157	5130
seq1158	5133
seq1159	5181
seq1160	5150
seq1161	5120
seq1162	5104
seq1163	5131
seq1164	5107
seq1165	5166
seq1166	5128
seq1167	4807
seq1168	5107
seq1169	5131
seq1170	5101
seq1171	5114
seq1172	5072
seq1173	5139
seq1174	5112
seq1175	5215
seq1176	5111
seq1177	5179
seq1178	5112
seq1179	5113
seq1180	5093
seq1181	5114
seq1182	5092
seq1183	5092
seq1184	5094
seq1185	5043
seq1186	5107
seq1187	5087
seq1188	5122
seq1189	5089
seq1190	5140
seq1191	5082
seq1192	5088
seq1193	5149
seq1194	5063
seq1195	5058
seq1196	5022
seq1197	5077
seq1198	5099
seq1199	5078
seq1200	5068
seq1201	5028
seq1202	5077
seq1203	5072
seq1204	5090
seq1205	5081
seq1206	5084
seq1207	5076
seq1208	5078
seq1209	5071
seq1210	5066
seq1211	5027
seq1212	5094
seq1213	5063
seq1214	5040
seq1215	5128
seq1216	5061
seq1217	5083
seq1218	5059
seq1219	5056
seq1220	5105
seq1221	5073
seq1222	5081
seq1223	5050
seq1224	5038
seq1225	5205
seq1226	5085
seq1227	5050
seq1228	5040
seq1229	5020
seq1230	5034
seq1231	5048
seq1232	5049
seq1233	5049
seq1234	5027
seq1235	5050
seq1236	5065
seq1237	5051
seq1238	5042
seq1239	5028
seq1240	4985
seq1241	5100
seq1242	5042
seq1243	5013
seq1244	5022
seq1245	5047
seq1246	5054
seq1247	5061
seq1248	5037
seq1249	5026
seq1250	5054
seq1251	5020
seq1252	5021
seq1253	5011
seq1254	5037
seq1255	4942
seq1256	5030
seq1257	5044
seq1258	4984
seq1259	4991
seq1260	5022
seq1261	5047
seq1262	5034
seq1263	5045
seq1264	5017
seq1265	5012
seq1266	5016
seq1267	5023
seq1268	5055
seq1269	4963
seq1270	5007
seq1271	5007
seq1272	4990
seq1273	5026
seq1274	4928
seq1275	5096
seq1276	4906
seq1277	5004
seq1278	5003
seq1279	5003
seq1280	4981
seq1281	5005
seq1282	4933
seq1283	5005
seq1284	4999
seq1285	4979
seq1286	5032
seq1287	4865
seq1288	5019
seq1289	4992
seq1290	4994
seq1291	4986
seq1292	4974
seq1293	5004
seq1294	4928
seq1295	4987
seq1296	4975
seq1297	4985
seq1298	4996
seq1299	4987
seq1300	4965
seq1301	4989
seq1302	4999
seq1303	4983
seq1304	5011
seq1305	4989
seq1306	4979
seq1307	5026
seq1308	4974
seq1309	4985
seq1310	4983
seq1311	4982
seq1312	5008
seq1313	4998
seq1314	4933
seq1315	4973
seq1316	4971
seq1317	4983
seq1318	4929
seq1319	4954
seq1320	4983
seq1321	4982
seq1322	4965
seq1323	4919
seq1324	4980
seq1325	4965
seq1326	4951
seq1327	4970
seq1328	4922
seq1329	4925
seq1330	4958
