OTU ID	B1-1	B1-2	B1-4	D1-1	D1-4	D1-5	F1-2	F1-3	F1-5	F2-1	F2-2	F2-4	S1-3	S1-4	S1-5
OTU141	1.0	0.0	5.0	1.0	47.0	0.0	22.0	4.0	3.0	23.0	19.0	17.0	1.0	27.0	54.0
OTU142	12.0	1.0	109.0	79.0	3.0	10.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0
OTU143	44.0	2.0	163.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU144	10.0	75.0	0.0	36.0	20.0	3.0	12.0	11.0	4.0	0.0	1.0	0.0	2.0	15.0	28.0
OTU145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	79.0	74.0	0.0	0.0	0.0
OTU146	1.0	4.0	3.0	74.0	87.0	18.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	17.0	4.0
OTU147	51.0	16.0	46.0	0.0	2.0	47.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	42.0
OTU148	9.0	0.0	2.0	22.0	73.0	98.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU149	2.0	54.0	27.0	55.0	0.0	54.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
OTU150	31.0	25.0	4.0	1.0	0.0	62.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	17.0	55.0
OTU151	0.0	3.0	4.0	27.0	13.0	13.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	103.0	29.0
OTU152	0.0	0.0	0.0	24.0	99.0	15.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	48.0
OTU153	12.0	63.0	25.0	37.0	40.0	12.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU154	2.0	5.0	7.0	25.0	25.0	49.0	0.0	1.0	9.0	2.0	6.0	6.0	0.0	27.0	24.0
OTU155	1.0	0.0	2.0	74.0	62.0	0.0	2.0	9.0	19.0	1.0	1.0	0.0	0.0	0.0	16.0
OTU156	0.0	155.0	4.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU157	1.0	5.0	0.0	39.0	69.0	46.0	1.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	13.0
OTU158	0.0	0.0	0.0	0.0	171.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0
OTU159	1.0	82.0	12.0	15.0	0.0	7.0	23.0	17.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU160	0.0	1.0	0.0	168.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU161	0.0	0.0	0.0	47.0	36.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	47.0	13.0
OTU162	8.0	10.0	117.0	12.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0
OTU163	34.0	50.0	73.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU164	1.0	61.0	26.0	2.0	0.0	49.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	15.0
OTU165	10.0	74.0	23.0	31.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
OTU166	5.0	16.0	6.0	11.0	0.0	38.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	24.0	54.0
OTU167	37.0	67.0	39.0	0.0	0.0	8.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
OTU168	25.0	25.0	12.0	19.0	12.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU169	0.0	106.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU170	0.0	0.0	4.0	70.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU171	8.0	29.0	40.0	46.0	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU172	125.0	0.0	0.0	7.0	0.0	16.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU173	4.0	4.0	3.0	10.0	21.0	69.0	2.0	2.0	0.0	0.0	1.0	0.0	1.0	16.0	11.0
OTU174	0.0	4.0	11.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU175	11.0	125.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0
OTU177	1.0	0.0	2.0	4.0	15.0	23.0	0.0	1.0	0.0	6.0	1.0	4.0	3.0	24.0	52.0
OTU178	14.0	1.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU179	1.0	10.0	85.0	38.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU180	6.0	41.0	23.0	7.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
OTU181	0.0	0.0	0.0	0.0	0.0	17.0	7.0	26.0	56.0	0.0	0.0	0.0	7.0	1.0	20.0
OTU182	0.0	0.0	0.0	0.0	107.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0
OTU183	0.0	0.0	68.0	2.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	14.0	33.0
OTU184	4.0	77.0	0.0	46.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU185	3.0	1.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
