Geneid	A05-12-1	A05-12-2	A05-12-3	A05-16-2	A05-16-3	A05-16
Glyma.08G222600	18.477	17.905	21.635	18.206	18.106	17.842
Glyma.08G222700	1.491	2.428	1.402	4.183	3.135	2.865
Glyma.08G222800	6.981	6.536	6.066	0.808	0.685	0.629
Glyma.08G222900	44.527	46.991	46.627	38.461	41.362	34.145
Glyma.08G223000	1.727	1.822	2.044	1.534	1.381	1.752
Glyma.08G223100	4.727	5.958	5.225	7.209	8.341	8.782
Glyma.08G223200	8.002	8.661	7.428	8.344	8.125	8.572
Glyma.08G223300	14.009	14.146	12.654	3.523	4.552	3.665
Glyma.08G223400	4.793	4.708	5.183	4.195	6.219	4.046
Glyma.08G223500	0.105	0.021	0.077	0.111	0.204	0.183
Glyma.08G223600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G223700	1.231	0.946	0.989	1.126	0.832	1.040
Glyma.08G223800	5.514	5.455	5.999	4.146	3.656	4.597
Glyma.08G223900	34.214	33.182	39.691	24.927	31.223	25.720
Glyma.08G224000	3.659	3.863	3.594	1.533	1.861	1.587
Glyma.08G224100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G224200	26.601	27.381	27.906	33.007	30.672	33.418
Glyma.08G224300	12.895	13.053	13.847	20.306	25.203	16.380
Glyma.08G224400	49.730	49.791	47.808	37.999	37.953	38.423
Glyma.08G224500	39.497	42.383	41.706	40.358	38.731	42.251
Glyma.08G224600	1.721	1.668	1.564	4.819	5.068	5.020
Glyma.08G224700	0.108	0.231	0.190	0.447	0.608	0.707
Glyma.08G224800	0.259	0.379	0.399	0.082	0.000	0.034
Glyma.08G224900	0.245	0.267	0.120	0.278	0.221	0.322
Glyma.08G225000	1.894	1.855	2.056	17.011	14.266	16.286
Glyma.08G225100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G225200	0.000	0.027	0.000	0.000	0.020	0.000
Glyma.08G225301	1.443	1.670	1.523	3.679	4.050	3.288
Glyma.08G225400	3.294	3.255	3.458	6.320	5.991	6.608
Glyma.08G225500	12.283	11.328	11.290	9.590	9.219	9.216
Glyma.08G225700	12.261	11.540	8.515	7.175	8.371	8.344
Glyma.08G225800	0.367	0.371	0.222	0.134	0.189	0.192
Glyma.08G225900	0.000	0.010	0.023	0.033	0.015	0.000
Glyma.08G225950	0.126	0.155	0.223	0.355	0.342	0.199
Glyma.08G226000	3.739	4.040	4.010	7.471	6.047	7.480
Glyma.08G226100	5.185	4.710	4.250	7.924	8.125	7.722
Glyma.08G226166	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G226232	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G226300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G226400	0.833	0.645	0.817	1.826	1.756	2.076
Glyma.08G226600	27.587	27.781	26.951	7.789	8.282	8.075
Glyma.08G226700	7.280	7.745	6.552	7.206	6.986	7.397
Glyma.08G226800	2.673	2.535	3.132	0.000	0.142	0.124
Glyma.08G226867	0.945	0.629	0.833	2.629	1.780	4.838
Glyma.08G226933	0.628	0.479	0.484	1.451	1.167	1.645
Glyma.08G227000	0.638	0.816	0.597	1.278	1.080	1.132
Glyma.08G227200	0.000	0.052	0.013	0.127	0.180	0.056
Glyma.08G227300	4.790	4.883	5.150	4.951	4.805	4.529
Glyma.08G227400	1.260	1.119	1.313	0.682	0.585	0.600
Glyma.08G227500	1.183	1.153	1.271	2.475	1.779	2.464
Glyma.08G227600	2.699	2.408	2.144	4.600	4.587	4.195
Glyma.08G227700	0.169	0.236	0.075	9.744	11.877	9.630
Glyma.08G227900	2.450	2.670	2.763	4.686	3.893	4.348
Glyma.08G228000	5.311	5.414	5.545	6.381	5.419	5.386
Glyma.08G228100	0.257	0.189	0.227	0.607	0.777	0.472
Glyma.08G228300	3.211	3.172	3.184	0.030	0.021	0.031
Glyma.08G228400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G228500	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G228600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G228650	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G228800	0.176	0.215	0.160	2.158	1.996	2.202
Glyma.08G228900	0.380	0.274	0.214	0.602	0.565	0.498
Glyma.08G229000	1.531	1.455	0.300	3.037	2.453	3.120
Glyma.08G229100	1.280	1.378	1.359	0.043	0.023	0.055
Glyma.08G229400	1.828	1.807	1.463	2.224	1.919	2.324
Glyma.08G229500	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G229600	5.073	5.031	5.247	9.267	9.914	8.950
Glyma.08G229700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G229800	1.161	1.376	1.271	2.817	2.763	2.643
Glyma.08G229900	0.197	0.217	0.174	0.000	0.000	0.000
Glyma.08G230000	4.651	3.973	4.567	0.000	0.000	0.000
Glyma.08G230100	0.029	0.035	0.000	0.000	0.000	0.038
Glyma.08G230200	1.092	0.812	1.297	1.029	0.599	0.871
Glyma.08G230300	1.050	0.183	0.396	1.338	0.811	0.393
Glyma.08G230400	5.636	6.975	5.955	41.554	44.136	36.479
Glyma.08G230500	0.000	0.000	0.029	0.000	0.000	0.000
Glyma.08G230600	0.052	0.000	0.000	0.000	0.000	0.000
Glyma.08G230700	1.513	1.368	1.600	0.000	0.055	0.000
Glyma.08G230800	1.937	1.699	2.158	4.604	4.761	5.306
Glyma.08G230900	1.403	1.497	1.440	2.605	2.674	2.921
Glyma.08G231000	2.939	3.401	3.350	6.228	8.225	7.642
Glyma.08G231100	3.668	3.818	4.170	3.607	3.747	3.691
Glyma.08G231200	0.005	0.006	0.012	0.194	0.087	0.145
Glyma.08G231300	3.205	3.065	3.189	5.804	5.228	5.009
Glyma.08G231400	0.876	0.882	0.835	1.719	1.449	1.564
Glyma.08G231500	0.253	0.216	0.223	0.306	0.251	0.315
Glyma.08G231600	0.016	0.000	0.000	0.000	0.000	0.000
Glyma.08G231800	1.335	1.661	1.415	1.937	1.712	2.376
Glyma.08G231900	4.831	5.202	5.435	4.864	5.357	4.705
Glyma.08G232000	11.892	10.831	11.365	9.472	10.624	10.223
Glyma.08G232050	0.000	0.523	0.629	0.000	1.286	1.682
Glyma.08G232100	0.595	0.713	0.768	0.934	0.718	1.155
Glyma.08G232200	0.077	0.219	0.158	0.000	0.046	0.034
Glyma.08G232300	0.009	0.000	0.008	0.012	0.008	0.000
Glyma.08G232400	11.324	12.882	13.330	10.299	9.877	13.817
Glyma.08G232500	8.817	9.660	10.973	0.336	0.185	0.153
Glyma.08G232600	0.483	0.433	0.635	0.699	0.988	0.676
Glyma.08G232700	3.721	3.785	3.943	2.778	3.026	2.853
Glyma.08G232800	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G232900	2.522	2.205	2.095	0.017	0.036	0.035
Glyma.08G233000	0.000	0.221	0.032	0.046	0.000	0.000
Glyma.08G233300	2.590	2.693	2.166	1.829	1.903	1.758
Glyma.08G233400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G233500	12.418	11.805	12.564	16.270	18.209	16.812
Glyma.08G233702	3.524	3.172	3.086	3.968	4.368	4.453
Glyma.08G233900	0.064	0.067	0.032	0.493	0.597	0.362
Glyma.08G234001	0.000	0.221	0.000	0.000	0.000	0.000
Glyma.08G234100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G234200	4.056	4.289	4.295	24.020	21.159	23.642
Glyma.08G234400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G234500	0.000	0.000	0.026	0.038	0.061	0.069
Glyma.08G234600	6.104	6.159	6.894	11.646	9.835	12.025
Glyma.08G234700	2.788	3.303	3.183	4.370	4.799	4.907
Glyma.08G234900	0.074	0.113	0.073	0.083	0.050	0.121
Glyma.08G235000	9.606	8.947	10.165	8.167	8.205	7.513
Glyma.08G235100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G235200	0.000	0.000	0.000	0.000	0.156	0.057
Glyma.08G235300	0.095	0.087	0.021	0.091	0.021	0.031
Glyma.08G235400	0.174	0.141	0.051	0.037	0.000	0.038
Glyma.08G235600	1.247	0.977	1.269	3.726	3.642	3.981
Glyma.08G235700	0.000	0.000	0.000	0.028	0.020	0.028
Glyma.08G235800	0.000	0.000	0.000	0.000	0.007	0.000
Glyma.08G235900	0.161	0.118	0.142	1.943	1.894	2.257
Glyma.08G236000	48.825	47.881	53.877	78.605	69.128	69.535
Glyma.08G236200	1.526	1.456	1.751	2.817	2.492	2.582
Glyma.08G236300	0.053	0.096	0.162	0.201	0.237	0.103
Glyma.08G236400	3.859	4.237	4.074	4.095	3.143	4.245
Glyma.08G236800	0.089	0.087	0.121	0.243	0.161	0.297
Glyma.08G236900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G237000	0.713	0.629	0.582	1.600	1.987	1.678
Glyma.08G237150	5.965	5.980	5.434	7.280	7.128	7.464
Glyma.08G237300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G237400	10.885	10.248	11.315	12.162	11.261	11.150
Glyma.08G237500	3.547	3.403	3.036	6.390	5.502	5.945
Glyma.08G237900	1.757	1.872	1.944	2.097	1.819	2.008
Glyma.08G238000	4.997	4.326	5.083	8.229	7.511	8.885
Glyma.08G238100	117.498	113.175	116.572	149.102	135.186	149.130
Glyma.08G238200	0.166	0.120	0.157	0.336	0.354	0.498
Glyma.08G238300	4.711	4.460	4.398	7.572	8.140	7.523
Glyma.08G238400	37.476	38.295	36.788	52.018	48.984	48.453
Glyma.08G238500	5.023	4.791	5.061	8.204	8.214	7.689
Glyma.08G238600	37.173	36.575	38.288	25.935	22.036	23.361
Glyma.08G238700	0.127	0.222	0.208	0.232	0.328	0.262
Glyma.08G238750	0.040	0.000	0.053	0.330	0.126	0.391
Glyma.08G238800	4.696	4.981	4.534	6.721	5.839	6.670
Glyma.08G238900	1.417	1.262	1.114	1.666	1.524	1.533
Glyma.08G239000	15.932	20.046	21.699	28.611	28.482	25.389
Glyma.08G239100	0.102	0.124	0.090	0.000	0.092	0.000
Glyma.08G239150	0.000	0.119	0.029	0.000	0.059	0.000
Glyma.08G239201	0.344	0.112	0.162	0.497	0.330	0.510
Glyma.08G239251	0.319	0.891	0.281	0.698	0.945	2.210
Glyma.08G239300	6.357	6.075	6.067	4.412	5.041	4.740
Glyma.08G239400	0.127	0.088	0.064	0.000	0.033	0.000
Glyma.08G239500	5.925	5.544	8.084	23.352	22.242	22.008
Glyma.08G239700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G239900	11.372	11.302	11.746	46.882	60.015	48.014
Glyma.08G240100	14.523	15.427	16.575	0.814	0.853	0.806
Glyma.08G240202	0.264	0.258	0.109	0.135	0.175	0.254
Glyma.08G240300	6.939	6.619	6.100	9.853	8.432	10.458
Glyma.08G240400	0.093	0.090	0.082	0.496	0.334	0.679
Glyma.08G240500	0.101	0.123	0.062	0.069	0.042	0.041
Glyma.08G240700	0.128	0.126	0.118	0.295	0.296	0.223
Glyma.08G240800	8.299	7.410	7.512	10.968	10.947	10.133
Glyma.08G240900	1.183	1.276	1.357	1.859	1.363	2.270
Glyma.08G241000	0.465	0.385	0.344	0.096	0.176	0.079
Glyma.08G241100	0.750	0.819	0.381	2.015	3.013	2.026
Glyma.08G241200	3.693	4.529	3.703	8.008	9.689	6.738
Glyma.08G241300	8.823	7.785	7.928	6.576	5.003	6.150
Glyma.08G241400	2.538	2.898	3.031	5.371	6.232	5.204
Glyma.08G241500	0.305	0.531	0.528	1.423	1.513	1.277
Glyma.08G241600	22.540	23.088	21.362	6.860	7.472	7.265
Glyma.08G241650	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G241700	4.304	4.363	4.669	4.311	4.444	4.611
Glyma.08G241800	0.105	0.116	0.139	0.027	0.057	0.069
Glyma.08G242000	5.151	5.355	4.668	10.906	10.368	11.469
Glyma.08G242100	2.784	2.512	2.461	2.481	2.590	2.772
Glyma.08G242200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G242300	12.669	9.523	9.251	17.017	14.729	20.134
Glyma.08G242400	0.482	0.378	0.182	1.053	1.117	1.488
Glyma.08G242450	0.680	0.623	0.600	3.254	3.066	4.457
Glyma.08G242500	4.498	5.181	4.155	6.012	4.878	6.310
Glyma.08G242600	1.882	2.537	2.229	2.054	2.008	1.696
Glyma.08G242700	0.439	0.345	0.484	0.340	0.721	0.452
Glyma.08G242800	1.796	2.297	2.440	3.611	3.771	3.073
Glyma.08G243000	30.596	31.781	33.215	7.394	7.115	7.495
Glyma.08G243100	0.188	0.229	0.207	0.020	0.042	0.061
Glyma.08G243200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G243300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G243400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G243500	0.000	0.088	0.000	0.091	0.000	0.000
Glyma.08G243550	0.000	0.052	0.000	0.054	0.000	0.000
Glyma.08G243600	15.899	15.523	15.356	40.057	33.652	40.889
Glyma.08G243700	0.000	0.000	0.000	0.107	0.050	0.183
Glyma.08G243951	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G244000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G244500	0.057	0.000	0.050	0.018	0.013	0.075
Glyma.08G244600	0.392	0.514	0.614	2.700	2.509	2.527
Glyma.08G244700	3.359	3.327	3.660	17.183	18.389	16.959
Glyma.08G244800	0.242	0.118	0.185	2.735	3.008	2.514
Glyma.08G244900	5.483	5.504	5.318	3.926	3.783	4.187
Glyma.08G245000	2.500	2.259	3.381	0.873	1.265	0.897
Glyma.08G245100	6.168	6.430	5.410	5.738	4.892	5.816
Glyma.08G245200	5.790	6.395	7.131	18.055	19.038	15.044
Glyma.08G245300	0.503	0.205	0.401	3.113	1.920	2.916
Glyma.08G245400	4.683	4.352	4.492	6.757	6.166	6.292
Glyma.08G245500	3.388	3.085	2.851	0.923	1.249	0.827
Glyma.08G245600	0.252	0.168	0.212	0.715	0.660	0.779
Glyma.08G245700	0.034	0.042	0.050	0.189	0.278	0.240
Glyma.08G245850	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G245900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G246000	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G246100	1.582	1.443	1.234	2.432	2.186	2.375
Glyma.08G246200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G246300	6.275	6.074	6.270	10.934	11.648	10.328
Glyma.08G246400	12.400	12.759	12.856	2.806	3.494	3.265
Glyma.08G246600	0.961	1.096	0.934	2.739	2.261	2.425
Glyma.08G246700	0.205	0.683	0.493	2.307	2.034	2.370
Glyma.08G246800	0.607	0.729	0.752	0.967	1.316	1.279
Glyma.08G246980	0.216	0.527	0.761	0.275	0.000	0.283
Glyma.08G247060	0.000	0.000	0.000	0.000	0.050	0.145
Glyma.08G247140	3.977	5.193	3.627	14.954	17.120	18.686
Glyma.08G247220	0.232	0.094	0.204	1.379	1.393	1.063
Glyma.08G247300	1.395	1.254	1.274	4.625	4.308	5.365
Glyma.08G247400	3.752	3.273	3.477	6.730	5.116	6.338
Glyma.08G247500	0.322	0.369	0.325	0.231	0.157	0.237
Glyma.08G247700	0.953	0.911	0.938	0.987	0.772	0.905
Glyma.08G247800	0.231	0.216	0.228	3.762	2.880	3.259
Glyma.08G247866	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G247932	0.070	0.146	0.112	1.040	0.893	1.234
Glyma.08G248000	0.707	0.799	0.654	17.485	17.055	17.569
Glyma.08G248400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G248700	1.490	0.862	1.313	3.499	4.805	3.133
Glyma.08G248750	2.152	2.336	2.529	4.878	1.508	3.445
Glyma.08G248800	4.786	4.783	3.707	9.062	6.012	8.169
Glyma.08G248900	3.036	3.182	2.973	10.933	11.628	9.456
Glyma.08G249100	19.057	18.564	19.644	0.753	1.632	2.373
Glyma.08G249200	15.218	14.419	14.326	7.410	8.520	7.109
Glyma.08G249300	0.164	0.200	0.000	0.000	0.148	0.000
Glyma.08G249401	0.262	0.217	0.328	1.738	2.075	1.919
Glyma.08G249500	1.150	0.987	1.109	1.981	2.297	2.158
Glyma.08G249600	7.246	7.570	7.298	14.753	13.578	14.136
Glyma.08G249650	0.962	0.000	0.848	2.943	1.213	1.260
Glyma.08G249700	15.270	14.734	15.649	7.203	7.316	7.195
Glyma.08G249800	0.773	0.927	0.768	0.627	0.671	0.571
Glyma.08G249900	15.955	15.256	16.276	14.895	15.282	15.552
Glyma.08G250000	0.074	0.142	0.131	0.216	0.153	0.291
Glyma.08G250300	0.000	0.000	0.000	0.000	0.034	0.000
Glyma.08G250402	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G250600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G250700	0.098	0.024	0.086	0.174	0.088	0.179
Glyma.08G250800	2.147	2.173	2.260	0.654	0.563	0.609
Glyma.08G250900	4.311	4.893	4.789	5.387	7.916	5.725
Glyma.08G251000	0.794	0.970	0.100	0.289	0.409	0.743
Glyma.08G251100	2.747	2.640	2.373	8.525	7.362	7.318
Glyma.08G251200	7.121	7.374	7.689	6.913	6.018	6.489
Glyma.08G251300	1.433	1.496	1.456	5.156	5.004	5.732
Glyma.08G251400	1.966	1.979	1.858	1.314	1.417	1.421
Glyma.08G251500	14.354	14.556	15.286	0.000	0.000	0.022
Glyma.08G251550	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G251600	0.031	0.095	0.055	0.617	0.858	0.940
Glyma.08G251700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G251800	0.011	0.000	0.010	0.000	0.000	0.000
Glyma.08G251900	1.192	2.015	1.980	0.000	0.248	0.000
Glyma.08G251950	0.911	1.907	0.917	4.977	1.876	6.306
Glyma.08G252000	1.512	1.430	1.553	3.304	2.916	2.981
Glyma.08G252101	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G252202	0.162	0.128	0.135	0.439	0.525	0.451
Glyma.08G252300	0.549	0.622	0.553	0.825	0.733	0.809
Glyma.08G252400	0.903	0.841	1.055	3.469	3.530	3.002
Glyma.08G252500	0.722	0.765	1.146	1.822	1.997	1.809
Glyma.08G252600	1.907	1.917	0.865	0.799	0.701	0.699
Glyma.08G252650	4.392	3.947	3.430	6.420	6.596	6.501
Glyma.08G252700	0.089	0.144	0.143	0.170	0.160	0.232
Glyma.08G252800	1.927	2.746	2.690	5.171	3.763	4.865
Glyma.08G252900	3.627	3.301	3.643	2.243	1.925	2.070
Glyma.08G253000	4.990	4.739	4.869	7.953	6.144	8.213
Glyma.08G253100	1.791	2.116	2.040	4.010	2.991	4.615
Glyma.08G253200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G253400	0.000	0.000	0.013	0.018	0.000	0.000
Glyma.08G253600	2.253	2.183	1.781	2.900	2.612	3.201
Glyma.08G253700	0.596	0.814	0.927	1.453	1.785	1.516
Glyma.08G253800	0.770	0.932	0.809	2.528	2.752	2.728
Glyma.08G253900	2.329	2.486	1.980	4.345	4.368	3.841
Glyma.08G254000	4.598	4.801	4.522	4.132	4.437	4.369
Glyma.08G254100	0.826	0.514	0.621	1.807	1.657	1.782
Glyma.08G254200	13.094	11.560	11.512	5.061	4.413	5.466
Glyma.08G254300	0.073	0.036	0.019	0.300	0.397	0.327
Glyma.08G254400	0.239	0.110	0.079	0.000	0.000	0.000
Glyma.08G254500	11.633	12.552	12.457	7.658	7.597	8.138
Glyma.08G254600	0.301	0.367	0.341	0.000	0.019	0.141
Glyma.08G254800	0.254	0.310	0.485	0.000	0.000	0.000
Glyma.08G254850	0.059	0.072	0.000	0.000	0.000	0.000
Glyma.08G254900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G255000	10.261	10.274	9.885	8.988	5.861	9.719
Glyma.08G255200	18.956	21.000	21.237	2.466	2.819	2.608
Glyma.08G255300	8.794	8.169	8.397	7.431	5.912	7.848
Glyma.08G255500	1.254	1.543	1.080	1.563	1.515	1.493
Glyma.08G255600	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G255700	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G255800	10.808	10.201	10.564	21.718	20.874	24.685
Glyma.08G255850	32.095	29.229	31.190	40.785	41.091	49.031
Glyma.08G255900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G256100	2.113	2.002	1.810	2.971	3.275	3.518
Glyma.08G256200	2.058	2.125	2.136	1.258	1.547	1.292
Glyma.08G256300	14.932	14.699	14.179	11.667	12.130	11.928
Glyma.08G256350	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G256400	6.265	5.225	6.302	2.735	3.003	2.746
Glyma.08G256500	2.556	1.921	2.946	0.000	0.000	0.000
Glyma.08G256600	21.541	22.494	21.339	0.000	0.036	0.000
Glyma.08G256701	0.000	0.163	0.084	0.146	0.138	0.025
Glyma.08G256900	4.361	4.703	4.453	0.068	0.058	0.070
Glyma.08G257000	2.185	2.247	2.810	3.498	3.142	3.559
Glyma.08G257100	12.031	13.143	14.911	13.533	11.320	11.827
Glyma.08G257200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G257300	0.096	0.117	0.101	0.219	0.224	0.175
Glyma.08G257400	1.337	1.712	1.249	1.481	1.256	1.196
Glyma.08G257500	0.895	0.986	0.819	2.214	2.182	2.229
Glyma.08G257600	3.134	2.741	2.744	3.069	3.034	3.079
Glyma.08G257700	0.611	0.772	0.622	0.470	0.361	0.290
Glyma.08G257800	0.778	0.750	0.924	0.000	0.013	0.000
Glyma.08G257900	2.260	2.323	1.951	3.996	3.566	4.327
Glyma.08G258000	1.333	1.345	1.671	2.576	3.299	2.755
Glyma.08G258100	0.063	0.067	0.048	0.010	0.021	0.041
Glyma.08G258300	0.000	0.000	0.000	0.021	0.000	0.044
Glyma.08G258500	2.236	2.143	2.008	2.923	2.653	2.818
Glyma.08G258700	5.308	5.627	5.301	5.787	4.940	6.360
Glyma.08G258800	3.107	3.045	3.049	4.228	3.718	4.464
Glyma.08G258850	0.000	0.000	0.000	0.000	0.000	0.515
Glyma.08G259000	0.979	0.852	0.711	1.228	1.286	1.521
Glyma.08G258900	1.751	1.576	1.543	5.288	2.076	2.535
Glyma.08G259100	5.985	5.848	5.423	5.144	4.693	4.987
Glyma.08G259200	197.642	193.349	203.132	71.152	90.131	74.365
Glyma.08G259300	0.681	0.637	0.671	0.026	0.000	0.026
Glyma.08G259400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G259500	12.060	12.418	11.882	26.533	28.247	26.615
Glyma.08G259600	0.914	1.323	0.746	1.079	0.793	1.020
Glyma.08G259700	3.226	3.359	3.222	4.217	3.765	3.649
Glyma.08G259766	0.000	0.246	0.177	0.171	0.060	0.351
Glyma.08G259832	0.147	0.161	0.129	0.187	0.291	0.346
Glyma.08G259900	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G260100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G260200	0.398	0.548	0.448	0.324	0.221	0.344
Glyma.08G260300	14.316	15.375	15.846	11.022	10.026	10.151
Glyma.08G260400	0.327	0.378	0.208	0.603	0.656	1.072
Glyma.08G260500	0.183	0.272	0.208	0.868	0.843	1.011
Glyma.08G260800	1.083	1.049	0.872	1.774	1.699	2.385
Glyma.08G261000	2.112	2.232	2.380	1.838	2.342	1.889
Glyma.08G261100	1.633	1.900	1.802	0.198	0.060	0.204
Glyma.08G261200	0.285	0.522	0.395	1.454	1.358	1.868
Glyma.08G261450	2.359	2.449	3.015	4.813	2.870	6.644
Glyma.08G261500	1.723	1.985	1.719	2.591	2.344	2.789
Glyma.08G261800	7.681	8.996	8.766	11.074	11.649	8.823
Glyma.08G261900	0.000	0.000	0.025	0.000	0.026	0.000
Glyma.08G262200	0.118	0.029	0.104	0.665	1.089	0.652
Glyma.08G262400	0.075	0.161	0.017	0.794	0.799	1.038
Glyma.08G262600	0.096	0.039	0.056	0.041	0.000	0.000
Glyma.08G262800	5.323	5.776	4.989	0.279	0.236	0.246
Glyma.08G262900	14.678	14.164	15.461	11.268	11.734	10.076
Glyma.08G263000	0.846	0.794	0.742	1.458	1.506	1.343
Glyma.08G263100	1.037	1.730	1.340	2.556	2.523	2.128
Glyma.08G263200	0.296	0.426	0.323	0.756	0.519	0.388
Glyma.08G263300	2.419	2.433	1.505	1.724	3.270	3.262
Glyma.08G263400	3.520	2.977	3.421	4.950	3.580	7.923
Glyma.08G263500	3.688	3.461	4.203	9.063	6.567	8.603
Glyma.08G263700	0.162	0.119	0.114	0.454	0.554	0.551
Glyma.08G263800	5.949	5.762	4.981	10.621	10.112	10.770
Glyma.08G264002	0.089	0.014	0.069	0.142	0.240	0.204
Glyma.08G264100	5.428	5.140	5.465	9.659	8.205	10.107
Glyma.08G264300	3.005	3.186	4.399	6.581	5.009	7.206
Glyma.08G264402	2.651	2.228	2.694	3.380	2.895	3.861
Glyma.08G264701	1.203	1.297	1.123	1.624	1.658	2.040
Glyma.08G264800	7.617	7.466	7.079	2.838	2.385	3.102
Glyma.08G264900	4.798	4.581	4.147	5.880	4.608	5.491
Glyma.08G265001	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G265150	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G265200	12.825	13.344	13.653	22.721	18.219	22.969
Glyma.08G265300	3.509	3.384	3.366	6.132	6.067	6.615
Glyma.08G265400	7.687	6.789	7.301	15.733	15.762	17.517
Glyma.08G265600	4.950	5.405	4.738	6.313	7.120	6.370
Glyma.08G265700	0.000	0.000	0.000	0.000	0.021	0.000
Glyma.08G265900	2.337	2.230	2.125	3.633	3.379	3.828
Glyma.08G265967	0.392	0.512	0.316	0.594	0.633	0.434
Glyma.08G266033	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G266100	4.424	4.327	4.176	3.628	3.494	3.383
Glyma.08G266300	6.257	6.022	5.377	6.809	5.871	6.848
Glyma.08G266400	20.759	20.582	22.558	18.950	12.955	16.859
Glyma.08G266500	8.986	9.652	8.702	12.652	8.209	13.530
Glyma.08G266550	0.000	0.000	0.000	0.143	0.000	0.000
Glyma.08G266700	4.029	4.328	3.458	5.920	6.537	6.109
Glyma.08G267000	0.060	0.049	0.018	0.000	0.000	0.000
Glyma.08G267100	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G267151	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G267300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G267350	0.000	0.000	0.000	0.000	0.045	0.000
Glyma.08G267400	0.874	1.038	1.020	1.536	1.426	1.268
Glyma.08G267500	0.224	0.547	0.691	0.428	0.606	1.614
Glyma.08G267700	21.630	21.853	21.904	22.120	17.834	20.275
Glyma.08G267800	0.000	0.000	0.000	0.000	0.000	0.022
Glyma.08G267900	5.311	5.758	4.707	6.145	5.365	5.648
Glyma.08G268000	0.081	0.040	0.029	0.000	0.000	0.000
Glyma.08G268300	2.561	2.853	2.206	2.845	2.435	2.984
Glyma.08G268350	3.453	3.650	3.395	4.347	3.471	4.205
Glyma.08G268400	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G268500	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G268601	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G268900	5.732	5.509	5.052	14.738	12.545	15.490
Glyma.08G269000	0.040	0.037	0.053	0.013	0.000	0.000
Glyma.08G269200	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G269300	0.000	0.000	0.000	0.000	0.000	0.000
Glyma.08G269366	0.000	0.030	0.000	0.000	0.000	0.000
