Geneid	log2(fc)	pvalue	FDR
Glyma.02G115500	-0.876617584494718	0.787319916352174	0.915900475264418
Glyma.02G115600	1.33118439289392	0.00584938552630168	0.025837290752096
Glyma.02G115700	0.189367916915308	0.59348996922309	0.789547784715971
Glyma.02G115900	-0.333600080606359	0.804682257476775	0.926825601429254
Glyma.02G116000	-0.511510715977418	0.55896800500832	0.763177421865513
Glyma.02G116100	-0.139322066253845	0.922033424348014	0.989080533192532
Glyma.02G116200	-0.810615742493991	0.266658081154238	0.499220290893981
Glyma.02G116300	-1.80368197276341	0.00325550901355588	0.0156663266675596
Glyma.02G116400	-2.25936008502426	0.000685659403013646	0.00408063652963826
Glyma.02G116500	0.608255936291524	0.134396980158844	0.312444321306454
Glyma.02G116567	-1.65818655389887	0.0175802763948038	0.0642774362116902
Glyma.02G116633	-1.05573878638225	0.179364177975947	0.378660532714782
Glyma.02G116700	0.225968860399246	0.433984463899616	0.673454819161867
Glyma.02G116750	0.685256788745125	0.387920458690523	0.630057133345145
Glyma.02G116800	-0.356430942287302	1	1
Glyma.02G116900	-1.38472620671233	0.0373473030072481	0.118519224174854
Glyma.02G117000	-0.227198335888319	0.953768484083114	1
Glyma.02G117100	-0.349307189709259	0.773961397749282	0.908684436980449
Glyma.02G117200	-0.166971684052965	1	1
Glyma.02G118500	1.0226190587913	0.0307498338590604	0.100928726289291
Glyma.02G118600	-1.49500241698857	0.0235999197561044	0.0820516186483067
Glyma.02G118800	-0.119764516563136	0.890786550415202	0.97278608990692
Glyma.02G119000	-0.0668660116086751	0.802936742015543	0.925577459181323
Glyma.02G119100	-0.463548976802598	0.632092008606884	0.819591980351894
Glyma.02G119200	0.112929227816144	0.564138027479972	0.766536992108402
Glyma.02G119300	3.69459335514399	8.68103189477884e-11	2.21616680027704e-09
Glyma.02G119400	-1.00749453654692	0.428655833067358	0.66822473910877
Glyma.02G119500	-0.83817629711074	0.247191371536113	0.474643535181951
Glyma.02G119600	-10.1198057386414	7.55703896886328e-26	3.27968154317629e-23
Glyma.02G119700	-0.26627020260087	0.896118049316082	0.975449657179517
Glyma.02G119800	-0.199937570508752	1	1
Glyma.02G120000	0.0141255397182707	0.692800865640612	0.859702434359745
Glyma.02G120100	0.14627810561142	0.549941243724133	0.755979816277304
Glyma.02G120200	0.210101928627627	0.452302013005778	0.690333739632977
Glyma.02G120300	-1.67715440707366	0.00959875782072576	0.0391455226114645
Glyma.02G120400	-0.430877575313112	0.665666222601705	0.840148033008964
Glyma.02G120500	-1.09855700980312	0.0945063684644197	0.239608029988544
Glyma.02G120900	0.188096560568903	0.474273176765606	0.710814789365933
Glyma.02G121000	3.25629833161891	5.991394590769e-09	1.09717873659142e-07
Glyma.02G121100	-1.99047722588149	0.413489736070381	0.653686570557479
Glyma.02G121200	-0.525506351682893	0.543961830495221	0.751989632976434
Glyma.02G121300	0.363235069044276	0.304450606242752	0.538697014954466
Glyma.02G121400	-0.321312741906871	0.887173253868523	0.970879908467619
Glyma.02G121500	7.53768063983027	5.35033052939505e-15	2.9130953105297e-13
Glyma.02G121600	8.04512256928097	6.81778699686478e-18	6.33600616521522e-16
Glyma.02G121800	8.8968369309446	2.2121509878647e-11	6.32663859939475e-10
Glyma.02G121900	0.357762693927095	0.362378442960768	0.60251734345506
Glyma.02G122000	-0.281493423793486	0.87812585078483	0.965745205602438
Glyma.02G122200	0.0498666121517867	0.647257090175586	0.827655995636067
Glyma.02G122300	-1.51125281453815	0.0724132714058588	0.19723606811329
Glyma.02G122500	-0.132453355423199	0.903773147952335	0.979692108703769
Glyma.02G122700	-0.354369510519496	0.776993328704404	0.910440084574053
Glyma.02G122900	0.445193252039807	0.232966465842346	0.456086978917301
Glyma.02G123000	-5.03297034398809	1.45014716298347e-09	2.93981987902603e-08
Glyma.02G123100	-0.348636273556334	0.785077157185594	0.915297231699902
Glyma.02G123200	-1.43980733740125	0.0373092908556712	0.118432226284573
Glyma.02G123302	-0.657032229545739	0.401795683358635	0.64398238945193
Glyma.02G123400	-0.0381466534470914	0.770215004922688	0.906489314350238
Glyma.02G123700	0.690897042969395	0.099278281406091	0.248967094369351
Glyma.02G123800	-0.108198740514422	0.953839470084898	1
Glyma.02G124100	0.417314066675855	0.255567410760679	0.485636055156581
Glyma.02G124400	-0.65536826780194	0.395454913434756	0.637982896111124
Glyma.02G124500	-1.71773466345744	0.00523764133391521	0.0234671407110038
Glyma.02G124600	-0.791413378188583	0.722276917004115	0.877136039202394
Glyma.02G124700	-5.54859675511864	1.05454376330532e-11	3.22429280188175e-10
Glyma.02G125000	-0.893510293141119	0.221133170055811	0.439659913475285
Glyma.02G125100	-1.59330268566989	0.0101530592561993	0.0407334322214471
Glyma.02G125200	0.137584219290117	0.532383054596637	0.743015858238605
Glyma.02G125300	0.422142902632065	0.261633963712273	0.493910626643206
Glyma.02G125400	0.247588811031491	0.403599317398957	0.645574354495864
Glyma.02G125551	-8.09978611970047	0.149560117302053	0.333540550963832
Glyma.02G125600	-1.85138977399683	0.00295347118957461	0.0144193005291803
Glyma.02G125700	1.83457639079263	0.0548469116525764	0.159398725556324
Glyma.02G125800	-0.091806468308281	0.841787784292934	0.945577956457218
Glyma.02G125900	-1.93564296775729	0.00153294358557008	0.00824201482061199
Glyma.02G126100	3.58496250072116	0.516129032258065	0.728565505762079
Glyma.02G126300	0.282957186287602	0.368062652297177	0.608685483549245
Glyma.02G126500	0.0225790324352575	0.693958596710943	0.86055182289626
Glyma.02G126600	1.42998784074482	0.0570468282733857	0.164445106767822
Glyma.02G126702	-0.581340670264434	0.480372933564212	0.716239629526141
Glyma.02G126800	-2.94416016106627	2.43072382953237e-06	2.66052365092866e-05
Glyma.02G127200	-0.192914816195194	0.98841005747933	1
Glyma.02G127300	-1.71400444572289	0.0531313402908966	0.155627025905469
Glyma.02G127400	-0.390112539341635	0.730016282940077	0.881958320640659
Glyma.02G127600	-0.181362114285088	0.988940050708642	1
Glyma.02G127700	0.162822488434336	0.505276962398709	0.728565505762079
Glyma.02G127800	-0.199919267499587	1	1
Glyma.02G128000	-2.10567911505885	0.000527972603951456	0.00324634159136644
Glyma.02G128100	-1.64200612718244	0.00823623556840077	0.03441003025319
Glyma.02G128300	-0.0232821595972437	0.747161853319446	0.893035228698259
Glyma.02G128400	-2.62564400623758	0.000176433427688757	0.00125027752871197
Glyma.02G128500	-0.354415004245947	0.765529901526087	0.903401677132913
Glyma.02G128600	5.22239242133645	0.516129032258065	0.728565505762079
Glyma.02G128700	-0.0477000553687273	0.797411335986452	0.922301581408477
Glyma.02G128800	-4.00851043157196	5.60425923565807e-10	1.22982813987801e-08
Glyma.02G128900	-0.832984806703354	0.24852782240475	0.476370746936869
Glyma.02G129100	2.01138509903103	9.15442442871412e-05	0.000697599601752387
Glyma.02G129200	-1.78608362502076	0.00439869784479752	0.0201709265859965
Glyma.02G129300	0.0926019492188597	0.598620279465784	0.793841371710562
Glyma.02G129500	-0.921218680501761	0.19564326071659	0.402849021018577
Glyma.02G129566	-1.64091890669517	0.219672495832999	0.43752358281156
Glyma.02G129800	0.131958337986827	0.535898700769653	0.745803481416696
Glyma.02G129900	1.16616679323929	0.0152853312672989	0.0574659035306586
Glyma.02G130000	-1.23488399068419	0.0652228421448822	0.182665639165364
Glyma.02G130100	-0.37950843817515	0.752942012874779	0.896822381015091
Glyma.02G130200	-0.524464925964998	0.573337944466479	0.773675646187166
Glyma.02G130400	-6.85628094656893	8.98402190144504e-19	9.60753021570561e-17
Glyma.02G130500	-5.99594663529152	3.91390375341158e-17	3.12420378002234e-15
